country,country_lo,name,gppd_idnr,capacity_m,latitude,longitude,primary_fu,other_fuel,other_fu_1,other_fu_2,commission,owner,source,url,geolocatio,wepp_id,year_of_ca,generation,generati_1,generati_2,generati_3,generati_4,generati_5,generati_6,generati_7,estimated_,estimate_1,estimate_2,estimate_3,estimate_4,estimate_5,estimate_6,estimate_7,estimate_8,estimate_9,field_37,field_38,field_39,SAMPLE_1
EGY,Egypt,Matrouh,WRI1000101,60.000000000000000,31.352499999999999,27.245300000000000,Gas,,,,1990.000000000000000,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,CARMA,"1063378",,,349.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,278.360000000000014,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,
EGY,Egypt,Naga Hamadi,WRI1000109,64.000000000000000,26.152200000000001,32.145299999999999,Hydro,,,,2008.000000000000000,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1014127",,,451.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,288.480000000000018,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,24541.708984375000000
EGY,Egypt,New Gas Damietta,WRI1000080,500.000000000000000,31.382200000000001,31.719600000000000,Gas,,,,2011.000000000000000,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1014111",,,3159.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,2319.690000000000055,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,15276.938476562500000
EGY,Egypt,New Gas Shabab,WRI1000079,1000.000000000000000,30.465299999999999,31.923400000000001,Gas,,,,2011.000000000000000,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1014139",,,1932.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,4639.390000000000327,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,13493.047851562500000
EGY,Egypt,North Giza,WRI1000074,2250.000000000000000,30.248300000000000,30.947099999999999,Gas,,,,2014.000000000000000,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1081903",,,,,133.000000000000000,,,,Egyptian Electricity Holding Company,,,,,10438.639999999999418,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,24357.119140625000000
EGY,Egypt,Nubaria,WRI1000091,2250.000000000000000,30.699300000000001,30.667100000000001,Gas,,,,,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1045371",,,15127.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,10438.639999999999418,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,28896.595703125000000
EGY,Egypt,October 6th,WRI1000073,600.000000000000000,30.053999999999998,31.045600000000000,Gas,,,,2012.000000000000000,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1086571",,,1534.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,2783.630000000000109,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,15477.361328125000000
EGY,Egypt,Oyoun Mousa,WRI1000084,640.000000000000000,29.911500000000000,32.594799999999999,Gas,,,,2001.000000000000000,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,,,,4943.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,2969.210000000000036,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,
EGY,Egypt,Port Said,WRI1000082,48.000000000000000,31.256300000000000,32.317100000000003,Gas,,,,1997.000000000000000,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,,,,111.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,222.689999999999998,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,
EGY,Egypt,PortSaid East,WRI1000089,683.000000000000000,31.099499999999999,32.520200000000003,Gas,,,,2003.000000000000000,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1044126",,,,,,,,,,,,,,3168.699999999999818,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,
