fid,Plant,MW,Country,MWh,GEN_TYPE,SAMPLE_1,latitude,longitude
1000,EL-MAHMOUDIA,117.400000000000006,EGYPT,"514899.38583127025",waste heat,23936.322265625003638,31.185,30.530
1001,EL-NUBARIA,765.000000000000000,EGYPT,"3355179.1325461818",waste heat,28896.595703125000000,30.699,30.669
1002,EL-NUBARIA,1500.000000000000000,EGYPT,"7427238.5131780002",NG,28896.595703125000000,30.699,30.669
1004,EL-SALLOUM,2.400000000000000,EGYPT,"10526.052180537041",Oil,,31.573,25.154
1005,EL-SHABAB,1100.500000000000000,EGYPT,"5449117.3225015923",NG,6874.718261718750000,29.867,31.317
1006,EL-SIUF,199.800000000000011,EGYPT,"989308.16995530971",NG,,31.200,29.900
1007,EL-SHABAB,0.000000000000000,EGYPT,"0",waste heat,6874.718261718750000,29.867,31.317
1008,EL-TEBBIN,700.000000000000000,EGYPT,"3466044.6394830663",NG,6874.718261718750000,29.850,31.333
1009,EL-SIUF,0.000000000000000,EGYPT,"0",Oil,,31.200,29.900
1011,EL-TEBBIN,0.000000000000000,EGYPT,"0",Oil,6874.718261718750000,29.850,31.333
1026,ESNA,85.680000000000007,EGYPT,"407091.2024694822",Water,17499.744140625000000,25.683,32.650
1037,ETHYDCO AMERIYA,0.000000000000000,EGYPT,"0",NG,,30.848,29.279
1046,FAIYUN,0.800000000000000,EGYPT,"3801.038305037182",Water,1939.860107421875000,29.539,30.814
1047,FAIYUN EMISAL,1.800000000000000,EGYPT,"7894.5391354027806",Oil,12294.133789062500000,29.453,30.705
1079,FINCHAA,133.899999999999977,ETHIOPIA,"600059.57289109181",Water,1835.391967773437500,9.550,37.383
1080,FINCHAA SUGAR,31.000000000000000,ETHIOPIA,"6173.7288135593226",Biomass,417.095703125000000,9.795,37.421
1081,FINCHAA-AMERTI-NESHE (FAN),97.000000000000000,ETHIOPIA,"434695.8817807014",Water,1807.425415039062500,8.600,35.733
1115,FULA RAPIDS,0.000000000000000,SOUTH SUDAN,"0",Water,1.771630883216858,4.614,31.263
1116,GABAR EL ASFAR,23.999999999999996,EGYPT,"105260.52180537039",Oil,231.147537231445313,30.033,31.217
1117,GABAL GALALA,0.000000000000000,EGYPT,"0",Water,,30.467,28.700
1118,GABEL EL-ZEIT,200.000000000000000,EGYPT,"548800",Wind,,27.257,33.813
1126,GAMASA SOLAR,0.000000000000000,EGYPT,"0",Sun,,31.441,31.536
1128,GAMBELA,0.000000000000000,ETHIOPIA,"0",Oil,72.923347473144531,8.250,34.583
1132,GAMSA,0.000000000000000,EGYPT,"0",NG,,27.667,33.583
1161,GEBA-1,0.000000000000000,ETHIOPIA,"0",Water,,7.546,40.635
1162,GEBA-2,0.000000000000000,ETHIOPIA,"0",Water,,7.546,40.635
1166,GENALE-DAWA-III,0.000000000000000,ETHIOPIA,"0",Water,,4.267,42.017
1167,GENALE-DAWA-VI,0.000000000000000,ETHIOPIA,"0",Water,,4.429,41.441
1187,GHIMBI,1.078000000000000,ETHIOPIA,"27.806079678089162",Oil,1620.913208007812500,9.167,35.833
1199,GILGEL GIBE-I,183.899999999999977,ETHIOPIA,"824129.61504609254",Water,,7.929,37.391
1200,GILGEL GIBE-II,420.000000000000000,ETHIOPIA,"1882188.3541020062",Water,,7.929,37.391
1201,GILGEL GIBE-III,935.000000000000000,ETHIOPIA,"4190109.7882985128",Water,122.363899230957017,6.856,37.304
1202,GINIR,0.305000000000000,ETHIOPIA,"7.8672117827617765",Oil,,7.140,40.711
1203,GILGEL GIBE-IV,0.000000000000000,ETHIOPIA,"0",Water,,7.546,40.635
1204,GILGEL GIBE-V,0.000000000000000,ETHIOPIA,"0",Water,,7.546,40.635
1211,GIZA NORTH,750.000000000000000,EGYPT,"3289391.3064178256",waste heat,24357.119140625000000,30.248,30.947
1213,GIZA NORTH,1500.000000000000000,EGYPT,"7427238.5131780002",NG,231.147537231445313,30.008,31.211
1214,GIZA PLANT,19.449000000000002,EGYPT,"96301.574561865957",NG,24357.119140625000000,30.248,30.947
1217,GODE,0.791000000000000,ETHIOPIA,"20.403162361195296",Oil,0.360021024942398,6.023,43.130
