fid,Plant,MW,Country,MWh,GEN_TYPE,Yield[K$/h,longitude,latitude
950,EL FASHER,15.400000000000000,SUDAN,"44385.016105300827",Oil,0.116517946124077,25.349,13.628
951,EL FIKRYA WWTP,0.675000000000000,EGYPT,"2960.4521757760426",Oil,7.804280281066896,30.819,27.934
953,EL FULLA,2.000000000000000,SUDAN,"5764.2878058832239",Oil,,34.026,9.960
954,EL GAILI,190.000000000000000,SUDAN,"547607.34155890637",NG,0.931748449802399,32.534,15.588
955,EL GAILI,110.000000000000000,SUDAN,"317035.82932357735",Oil,3.841237545013428,32.692,15.588
956,EL GAILI,160.000000000000000,SUDAN,"461143.02447065793",Oil,0.931748449802399,32.534,15.588
957,EL GAILI,60.000000000000000,SUDAN,"219300.85959885386",waste heat,3.841237545013428,32.692,15.588
958,EL GIMINA,10.699999999999999,SUDAN,"30838.939761475245",Oil,0.570539116859436,22.458,13.475
963,EL KHARGA,7.200000000000000,EGYPT,"31578.156541611119",Oil,9.497829437255859,30.546,25.451
965,EL NAHUD,2.000000000000000,SUDAN,"5764.2878058832239",Oil,0.174300536513329,29.800,14.233
966,EL MAX,0.000000000000000,EGYPT,"0",Oil,8.898690223693848,29.955,31.216
968,EL OBEID,13.000000000000000,SUDAN,"37467.870738240963",Oil,0.288007259368896,30.217,13.183
969,EL QARA FIIELD,9.000000000000000,EGYPT,"44563.431079068003",NG,16.314672470092773,30.835,31.208
970,EL SADAT PAPER,8.220000000000002,EGYPT,"40701.267052215444",NG,8.107275962829590,30.800,29.176
971,EL TOR,5.000000000000000,EGYPT,"21929.275376118832",Oil,,33.625,28.236
973,EL-AMERIYA REFINERY,78.000000000000000,EGYPT,"386216.40268525603",NG,,29.900,31.200
974,EL-AMERIYA REFINERY,36.000000000000000,EGYPT,"157890.78270805563",waste heat,,29.900,31.200
975,EL-AMERYA FTZ,180.000000000000000,EGYPT,"891268.62158135977",NG,,29.900,31.200
978,EL-ATF,250.000000000000000,EGYPT,"1096463.7688059416",waste heat,16.406478881835938,30.530,31.175
979,EL-ATF,530.000000000000000,EGYPT,"2624290.9413228934",NG,16.406478881835938,30.530,31.175
981,EL-DABAA,0.000000000000000,EGYPT,"0",NG,,29.883,31.167
991,EL-HAMRAWEIN,0.018000000000000,EGYPT,"27.688235294117646",Sun,,34.201,26.258
992,EL-KOUSIR,1.800000000000000,EGYPT,"7894.5391354027797",Oil,,34.279,26.109
994,EL-KUREIMAT,500.000000000000000,EGYPT,"2192927.5376118831",waste heat,7.940248489379884,30.700,28.433
996,EL-KUREIMAT,2300.000000000000000,EGYPT,"11388432.386872932",NG,7.940248489379884,30.700,28.433
997,EL-KUREIMAT ISCC,79.000000000000000,EGYPT,"391167.89502737467",NG,8.204557418823242,31.249,29.277
998,EL-KUREIMAT ISCC,63.000000000000000,EGYPT,"276308.86973909731",waste heat,8.204557418823242,31.249,29.277
999,EL-MAHMOUDIA,246.000000000000000,EGYPT,"1218067.1161611918",NG,8.898690223693848,29.919,31.198
1000,EL-MAHMOUDIA,117.400000000000006,EGYPT,"514899.38583127025",waste heat,16.406478881835938,30.530,31.185
1001,EL-NUBARIA,765.000000000000000,EGYPT,"3355179.1325461818",waste heat,11.211897850036623,30.669,30.699
1002,EL-NUBARIA,1500.000000000000000,EGYPT,"7427238.5131780002",NG,11.211897850036623,30.669,30.699
1004,EL-SALLOUM,2.400000000000000,EGYPT,"10526.052180537041",Oil,,25.154,31.573
1005,EL-SHABAB,1100.500000000000000,EGYPT,"5449117.3225015923",NG,7.792746067047120,31.317,29.867
1006,EL-SIUF,199.800000000000011,EGYPT,"989308.16995530971",NG,,29.900,31.200
1007,EL-SHABAB,0.000000000000000,EGYPT,"0",waste heat,7.792746067047120,31.317,29.867
1008,EL-TEBBIN,700.000000000000000,EGYPT,"3466044.6394830663",NG,7.792746067047120,31.333,29.850
1009,EL-SIUF,0.000000000000000,EGYPT,"0",Oil,,29.900,31.200
1011,EL-TEBBIN,0.000000000000000,EGYPT,"0",Oil,7.792746067047120,31.333,29.850
1026,ESNA,85.680000000000007,EGYPT,"407091.2024694822",Water,8.571141242980959,32.650,25.683
1037,ETHYDCO AMERIYA,0.000000000000000,EGYPT,"0",NG,,29.279,30.848
1046,FAIYUN,0.800000000000000,EGYPT,"3801.038305037182",Water,2.495640516281128,30.814,29.539
1047,FAIYUN EMISAL,1.800000000000000,EGYPT,"7894.5391354027806",Oil,7.953624725341798,30.705,29.453
1079,FINCHAA,133.899999999999977,ETHIOPIA,"600059.57289109181",Water,0.938949406147003,37.383,9.550
1080,FINCHAA SUGAR,31.000000000000000,ETHIOPIA,"6173.7288135593226",Biomass,2.654066085815430,37.421,9.795
1081,FINCHAA-AMERTI-NESHE (FAN),97.000000000000000,ETHIOPIA,"434695.8817807014",Water,2.388828277587891,35.733,8.600
1115,FULA RAPIDS,0.000000000000000,SOUTH SUDAN,"0",Water,0.860853850841522,31.263,4.614
1116,GABAR EL ASFAR,23.999999999999996,EGYPT,"105260.52180537039",Oil,7.773125171661378,31.217,30.033
1117,GABAL GALALA,0.000000000000000,EGYPT,"0",Water,,28.700,30.467
1118,GABEL EL-ZEIT,200.000000000000000,EGYPT,"548800",Wind,,33.813,27.257
1126,GAMASA SOLAR,0.000000000000000,EGYPT,"0",Sun,,31.536,31.441
1128,GAMBELA,0.000000000000000,ETHIOPIA,"0",Oil,2.714625597000122,34.583,8.250
1132,GAMSA,0.000000000000000,EGYPT,"0",NG,,33.583,27.667
1161,GEBA-1,0.000000000000000,ETHIOPIA,"0",Water,,40.635,7.546
1162,GEBA-2,0.000000000000000,ETHIOPIA,"0",Water,,40.635,7.546
1166,GENALE-DAWA-III,0.000000000000000,ETHIOPIA,"0",Water,,42.017,4.267
1167,GENALE-DAWA-VI,0.000000000000000,ETHIOPIA,"0",Water,,41.441,4.429
1187,GHIMBI,1.078000000000000,ETHIOPIA,"27.806079678089162",Oil,1.885509967803955,35.833,9.167
1199,GILGEL GIBE-I,183.899999999999977,ETHIOPIA,"824129.61504609254",Water,,37.391,7.929
1200,GILGEL GIBE-II,420.000000000000000,ETHIOPIA,"1882188.3541020062",Water,,37.391,7.929
1201,GILGEL GIBE-III,935.000000000000000,ETHIOPIA,"4190109.7882985128",Water,2.922487020492554,37.304,6.856
1202,GINIR,0.305000000000000,ETHIOPIA,"7.8672117827617765",Oil,,40.711,7.140
1203,GILGEL GIBE-IV,0.000000000000000,ETHIOPIA,"0",Water,,40.635,7.546
1204,GILGEL GIBE-V,0.000000000000000,ETHIOPIA,"0",Water,,40.635,7.546
1211,GIZA NORTH,750.000000000000000,EGYPT,"3289391.3064178256",waste heat,8.411646842956545,30.947,30.248
1213,GIZA NORTH,1500.000000000000000,EGYPT,"7427238.5131780002",NG,7.773125171661378,31.211,30.008
1214,GIZA PLANT,19.449000000000002,EGYPT,"96301.574561865957",NG,8.411646842956545,30.947,30.248
1217,GODE,0.791000000000000,ETHIOPIA,"20.403162361195296",Oil,1.178190708160400,43.130,6.023
1220,GOJEB,0.000000000000000,ETHIOPIA,"0",Water,2.434984207153320,36.913,7.235
1246,GRAND FULA,0.000000000000000,SOUTH SUDAN,"0",Water,0.860853850841522,31.263,4.614
1248,GRAND RENAISSANCE,0.000000000000000,ETHIOPIA,"0",Water,1.529586911201477,35.566,10.780
1263,GUIRGA MILL,10.000000000000000,EGYPT,"43858.550752237665",Oil,6.682043552398682,31.886,26.346
1265,GULF OF SUEZ,0.000000000000000,EGYPT,"0",Wind,,32.550,29.967
1268,GUNEID SUGAR,7.780000000000000,SUDAN,"4524.6842105263158",Biomass,3.440262317657471,33.307,14.792
1277,HAI ERAP,1.200000000000000,SOUTH SUDAN,"6555.0000000000018",Oil,0.955972671508789,30.678,4.095
1282,HALELE,0.000000000000000,ETHIOPIA,"0",Water,1.792232871055603,37.210,8.590
1286,HAMRAWEIN (SAFAGA),0.000000000000000,EGYPT,"0",Coal,,33.936,26.750
1289,HARAR BREWERY,1.665000000000000,ETHIOPIA,"42.947238092781504",Oil,5.411608219146730,42.126,9.309
1305,HAWAMDIA FACTORY,16.000000000000000,EGYPT,"74316.417910447766",Biomass,7.792746067047120,31.250,29.900
1306,HAWZEIN,0.150000000000000,ETHIOPIA,"3.8691205488992337",Oil,2.252179384231567,39.430,13.978
1308,HELWAN,121.000000000000000,EGYPT,"530688.46410207578",Oil,7.792746067047120,31.333,29.850
1309,HELIOPOLIS,0.000000000000000,EGYPT,"0",Oil,7.844210147857666,31.333,30.100
1310,HELWAN SEMADCO,3.200000000000000,EGYPT,"14034.736240716054",Oil,7.792746067047120,31.301,29.841
1335,HURGHADA,140.099999999999994,EGYPT,"614458.29603884974",Oil,,33.836,27.239
1336,HURGHADA WIND,4.000000000000000,EGYPT,"10976",Wind,,33.813,27.257
1337,HURGHADA NORTH,0.000000000000000,EGYPT,"0",Sun,,33.813,27.257
1338,HURGHADA SOUTH,0.000000000000000,EGYPT,"0",Wind,,33.812,27.258
1353,IDKU TERMINAL,68.000000000000000,EGYPT,"336701.47926406935",NG,3.098040819168091,30.299,31.306
1418,ISMAILIA,20.000000000000000,EGYPT,"87717.101504475329",Oil,7.437087059020996,32.267,30.583
1443,JEBEL AULIA DAM,28.800000000000004,SUDAN,"145536.53025357772",Water,3.161087274551392,32.467,15.247
1450,JINKA,0.705000000000000,ETHIOPIA,"18.184866579826405",Oil,2.956994771957397,36.650,5.650
1472,KADUGLI,2.000000000000000,SUDAN,"5764.2878058832239",Oil,0.754726827144623,29.717,11.017
1475,KAFR EL ZAYAT WORKS,8.085000000000004,EGYPT,"35459.638283184147",Oil,11.063932418823242,30.818,30.825
1477,KAFR EL-DAWAR,440.000000000000000,EGYPT,"2178656.6305322135",NG,8.656002044677734,31.071,30.373
1478,KAFR EL-DAWAR MILL,24.000000000000000,EGYPT,"105260.5218053704",Oil,8.656002044677734,31.071,30.373
1494,KAJBAR,0.000000000000000,SUDAN,"0",Water,4.395761489868164,30.483,19.167
1502,KALITI,13.440000000000000,ETHIOPIA,"346.67320118137138",Oil,1.035214781761169,38.769,8.891
1525,KAPOETA,0.800000000000000,SOUTH SUDAN,"4370",Oil,0.794810712337494,33.592,4.771
1532,KARA-DOBE,0.000000000000000,ETHIOPIA,"0",Water,1.433387756347656,38.133,10.167
1535,KAREMA,10.000000000000000,SUDAN,"28821.43902941612",Oil,0.666850447654724,31.850,18.550
1539,KARMOUZ,23.049999999999997,EGYPT,"101093.95948390782",Oil,,29.901,31.188
