r,l,t,m,y,RateOfActivity
REGION,S2D1,EGWA00000X,1,2040, 1.5337685596200781e+04
REGION,S2D2,EGWA00000X,1,2040, 1.2440651335271947e+04
REGION,S3D1,EGWA00000X,1,2040, 1.4258864141591846e+04
REGION,S3D2,EGWA00000X,1,2040, 1.2689884152993951e+04
REGION,S4D1,EGWA00000X,1,2040, 1.2442748382170379e+04
REGION,S4D2,EGWA00000X,1,2040, 1.2072783856622529e+04
REGION,S1D1,EGWA00000X,1,2041, 1.3573542426006816e+04
REGION,S1D2,EGWA00000X,1,2041, 1.2073633945432339e+04
REGION,S2D1,EGWA00000X,1,2041, 1.5320517958453065e+04
REGION,S2D2,EGWA00000X,1,2041, 1.2486860081678269e+04
REGION,S3D1,EGWA00000X,1,2041, 1.4209147190390451e+04
REGION,S3D2,EGWA00000X,1,2041, 1.2277058425372381e+04
REGION,S4D1,EGWA00000X,1,2041, 9317.94885929422
REGION,S4D2,EGWA00000X,1,2041, 1.2134092041487760e+04
REGION,S1D1,EGWA00000X,1,2042, 1.3514303257773894e+04
REGION,S1D2,EGWA00000X,1,2042, 1.2101143978346390e+04
REGION,S2D1,EGWA00000X,1,2042, 1.5304565703105212e+04
REGION,S2D2,EGWA00000X,1,2042, 1.2848908945539633e+04
REGION,S3D1,EGWA00000X,1,2042, 1.4175181641327585e+04
REGION,S3D2,EGWA00000X,1,2042, 1.1961188799988073e+04
REGION,S4D1,EGWA00000X,1,2042, 9.5114115459172644e+03
REGION,S4D2,EGWA00000X,1,2042, 1.2183210073906277e+04
REGION,S1D1,EGWA00000X,1,2043, 1.2037099368391318e+04
REGION,S1D2,EGWA00000X,1,2043, 1.1986646839634370e+04
REGION,S2D1,EGWA00000X,1,2043, 1.4762206763968758e+04
REGION,S2D2,EGWA00000X,1,2043, 1.0965597523460483e+04
REGION,S3D1,EGWA00000X,1,2043, 1.4230055359604785e+04
REGION,S3D2,EGWA00000X,1,2043, 1.2684957305050068e+04
REGION,S4D1,EGWA00000X,1,2043, 1.2749174961150966e+04
REGION,S4D2,EGWA00000X,1,2043, 1.1947532036718228e+04
REGION,S1D1,EGWA00000X,1,2044, 1.2723033500582662e+04
REGION,S1D2,EGWA00000X,1,2044, 1.1815399947052705e+04
REGION,S2D1,EGWA00000X,1,2044, 1.4254172240718181e+04
REGION,S2D2,EGWA00000X,1,2044, 1.2563954513803601e+04
REGION,S3D1,EGWA00000X,1,2044, 1.3450553012404223e+04
REGION,S3D2,EGWA00000X,1,2044, 1.2923486790461493e+04
REGION,S4D1,EGWA00000X,1,2044, 8953.02362150929
REGION,S4D2,EGWA00000X,1,2044, 1.1677476005653747e+04
REGION,S1D1,EGWA00000X,1,2045, 1.3096968642271329e+04
REGION,S1D2,EGWA00000X,1,2045, 9.8824649208132287e+03
REGION,S2D1,EGWA00000X,1,2045, 1.4084818440265568e+04
REGION,S2D2,EGWA00000X,1,2045, 1.2035719279183610e+04
REGION,S3D1,EGWA00000X,1,2045, 1.3835578474348016e+04
REGION,S3D2,EGWA00000X,1,2045, 1.2033368467426460e+04
REGION,S4D1,EGWA00000X,1,2045, 1.2525488393459544e+04
REGION,S4D2,EGWA00000X,1,2045, 1.1457044062866304e+04
REGION,S1D1,EGWA00000X,1,2046, 1.0878185521358997e+04
REGION,S1D2,EGWA00000X,1,2046, 1.1459843021166429e+04
REGION,S2D1,EGWA00000X,1,2046, 1.4065225622064198e+04
REGION,S2D2,EGWA00000X,1,2046, 1.1326493913433094e+04
REGION,S3D1,EGWA00000X,1,2046, 1.3872026505298891e+04
REGION,S3D2,EGWA00000X,1,2046, 1.1785249861345435e+04
REGION,S4D1,EGWA00000X,1,2046, 1.2712912249951160e+04
REGION,S4D2,EGWA00000X,1,2046, 1.1246402500781212e+04
REGION,S1D1,EGWA00000X,1,2047, 1.2727215431080578e+04
REGION,S1D2,EGWA00000X,1,2047, 1.1013338303135031e+04
REGION,S2D1,EGWA00000X,1,2047, 1.3910703914899013e+04
REGION,S2D2,EGWA00000X,1,2047, 9842.24625223272
REGION,S3D1,EGWA00000X,1,2047, 1.3592829672964022e+04
REGION,S3D2,EGWA00000X,1,2047, 1.1906082329113651e+04
