r,t,e,y,AnnualTechnologyEmission
REGION,EGCR00X00X,EGCO2,2015.0,132.811
REGION,EGCR00X00X,EGCO2,2016.0,125.9284
REGION,EGCR00X00X,EGCO2,2017.0,118.9487
REGION,EGCR00X00X,EGCO2,2018.0,123.3512
REGION,EGCR00X00X,EGCO2,2019.0,122.003
REGION,EGCR00X00X,EGCO2,2020.0,120.6539
REGION,EGCR00X00X,EGCO2,2021.0,120.3166
REGION,EGCR00X00X,EGCO2,2022.0,119.9294
REGION,EGCR00X00X,EGCO2,2023.0,119.6322
REGION,EGCR00X00X,EGCO2,2024.0,119.3532
REGION,EGCR00X00X,EGCO2,2025.0,119.0911
REGION,EGCR00X00X,EGCO2,2026.0,118.845
REGION,EGCR00X00X,EGCO2,2027.0,115.8412
REGION,EGCR00X00X,EGCO2,2028.0,104.1384
REGION,EGCR00X00X,EGCO2,2029.0,92.449
REGION,EGCR00X00X,EGCO2,2030.0,80.7721
REGION,EGCR00X00X,EGCO2,2031.0,26.3359
REGION,EGCR00X00X,EGCO2,2032.0,21.7597
REGION,EGHF00E00X,EGCO2,2015.0,-1.8544
REGION,EGHF00E00X,EGCO2,2016.0,-1.2392
REGION,EGHF00E00X,EGCO2,2017.0,-1.1573
REGION,EGHF00E00X,EGCO2,2018.0,-1.7091
REGION,EGHF00E00X,EGCO2,2019.0,-1.7091
REGION,EGHF00E00X,EGCO2,2020.0,-1.7091
REGION,EGHF00E00X,EGCO2,2021.0,-1.581
REGION,EGHF00E00X,EGCO2,2022.0,-1.4528
REGION,EGHF00E00X,EGCO2,2023.0,-1.3246
REGION,EGHF00E00X,EGCO2,2024.0,-1.1964
REGION,EGHF00E00X,EGCO2,2025.0,-1.0682
REGION,EGHF00E00X,EGCO2,2026.0,-0.94
REGION,EGHF00E00X,EGCO2,2027.0,-0.8118
REGION,EGHF00E00X,EGCO2,2028.0,-0.6837
REGION,EGHF00E00X,EGCO2,2029.0,-0.5555
REGION,EGHF00E00X,EGCO2,2030.0,-0.4273
REGION,EGHF00E00X,EGCO2,2031.0,-0.3952
REGION,EGHF00E00X,EGCO2,2032.0,-0.3632
REGION,EGHF00E00X,EGCO2,2033.0,-0.3311
REGION,EGHF00E00X,EGCO2,2034.0,-0.2991
REGION,EGHF00E00X,EGCO2,2035.0,-0.2671
REGION,EGHF00E00X,EGCO2,2036.0,-0.235
REGION,EGHF00E00X,EGCO2,2037.0,-0.203
REGION,EGHF00E00X,EGCO2,2038.0,-0.1709
REGION,EGHF00E00X,EGCO2,2039.0,-0.1389
REGION,EGHF00E00X,EGCO2,2040.0,-0.1068
REGION,EGHF00E00X,EGCO2,2041.0,-0.0988
REGION,EGHF00E00X,EGCO2,2042.0,-0.0908
REGION,EGHF00E00X,EGCO2,2043.0,-0.0828
REGION,EGHF00E00X,EGCO2,2044.0,-0.0748
REGION,EGHF00E00X,EGCO2,2045.0,-0.0668
REGION,EGHF00E00X,EGCO2,2046.0,-0.0588
REGION,EGHF00E00X,EGCO2,2047.0,-0.0507
REGION,EGHF00E00X,EGCO2,2048.0,-0.0427
REGION,EGHF00E00X,EGCO2,2049.0,-0.0347
REGION,EGHF00E00X,EGCO2,2050.0,-0.0267
REGION,EGHF00E00X,EGCO2,2051.0,-0.0247
REGION,EGHF00E00X,EGCO2,2052.0,-0.0227
REGION,EGHF00E00X,EGCO2,2053.0,-0.0207
REGION,EGHF00E00X,EGCO2,2054.0,-0.0187
REGION,EGHF00E00X,EGCO2,2055.0,-0.0167
REGION,EGHF00E00X,EGCO2,2056.0,-0.0147
REGION,EGHF00E00X,EGCO2,2057.0,-0.0127
REGION,EGHF00E00X,EGCO2,2058.0,-0.0107
REGION,EGHF00E00X,EGCO2,2059.0,-0.0087
REGION,EGHF00E00X,EGCO2,2060.0,-0.0067
REGION,EGHF00E00X,EGCO2,2061.0,-0.0062
REGION,EGHF00E00X,EGCO2,2062.0,-0.0057
REGION,EGHF00E00X,EGCO2,2063.0,-0.0052
REGION,EGHF00E00X,EGCO2,2064.0,-0.0047
REGION,EGHF00E00X,EGCO2,2065.0,-0.0042
REGION,EGHF00E00X,EGCO2,2066.0,-0.0037
REGION,EGHF00E00X,EGCO2,2067.0,-0.0032
REGION,EGHF00E00X,EGCO2,2068.0,-0.0027
REGION,EGHF00E00X,EGCO2,2069.0,-0.0022
REGION,EGHF00E00X,EGCO2,2070.0,-0.0017
REGION,EGHF00I00X,EGCO2,2015.0,7.1443
REGION,EGHF00I00X,EGCO2,2016.0,5.4146
REGION,EGHF00I00X,EGCO2,2017.0,1.1911
REGION,EGHF00I00X,EGCO2,2018.0,1.1911
REGION,EGHF00I00X,EGCO2,2019.0,1.1911
REGION,EGHF00I00X,EGCO2,2020.0,1.1911
REGION,EGHF00I00X,EGCO2,2021.0,1.1303
REGION,EGHF00I00X,EGCO2,2022.0,1.0696
REGION,EGHF00I00X,EGCO2,2023.0,1.0089
REGION,EGHF00I00X,EGCO2,2024.0,0.9481
REGION,EGHF00I00X,EGCO2,2025.0,0.8874
REGION,EGHF00I00X,EGCO2,2026.0,0.8267
REGION,EGHF00I00X,EGCO2,2027.0,1.4624
REGION,EGHF00I00X,EGCO2,2028.0,4.2867
REGION,EGHF00I00X,EGCO2,2029.0,7.111
REGION,EGHF00I00X,EGCO2,2030.0,9.9352
REGION,EGHF00I00X,EGCO2,2031.0,21.7877
REGION,EGHF00I00X,EGCO2,2032.0,20.4491
REGION,EGHF00I00X,EGCO2,2033.0,19.1106
REGION,EGHF00I00X,EGCO2,2034.0,17.772
REGION,EGHF00I00X,EGCO2,2035.0,16.4335
REGION,EGHF00I00X,EGCO2,2036.0,15.0949
REGION,EGHF00I00X,EGCO2,2037.0,13.7564
REGION,EGHF00I00X,EGCO2,2038.0,12.4179
REGION,EGHF00I00X,EGCO2,2039.0,11.0793
REGION,EGHF00I00X,EGCO2,2040.0,9.7408
REGION,EGHF00I00X,EGCO2,2041.0,9.1893
REGION,EGHF00I00X,EGCO2,2042.0,8.6379
REGION,EGHF00I00X,EGCO2,2043.0,8.0865
REGION,EGHF00I00X,EGCO2,2044.0,7.535
REGION,EGHF00I00X,EGCO2,2045.0,6.9836
REGION,EGHF00I00X,EGCO2,2046.0,6.4322
REGION,EGHF00I00X,EGCO2,2047.0,5.8807
REGION,EGHF00I00X,EGCO2,2048.0,5.3293
REGION,EGHF00I00X,EGCO2,2049.0,4.7779
REGION,EGHF00I00X,EGCO2,2050.0,4.2264
REGION,EGHF00I00X,EGCO2,2051.0,3.4902
REGION,EGHF00I00X,EGCO2,2052.0,3.0165
REGION,EGHF00I00X,EGCO2,2053.0,2.568
REGION,EGHF00I00X,EGCO2,2054.0,2.1445
REGION,EGHF00I00X,EGCO2,2055.0,1.7463
REGION,EGHF00I00X,EGCO2,2056.0,1.2883
REGION,EGHF00I00X,EGCO2,2057.0,0.8932
REGION,EGHF00I00X,EGCO2,2058.0,0.561
REGION,EGHF00I00X,EGCO2,2059.0,0.2917
REGION,EGHF00I00X,EGCO2,2060.0,0.2268
REGION,EGHF00I00X,EGCO2,2061.0,0.1738
REGION,EGHF00I00X,EGCO2,2062.0,0.1264
REGION,EGHF00I00X,EGCO2,2063.0,0.0847
REGION,EGHF00I00X,EGCO2,2064.0,0.0487
REGION,EGHF00I00X,EGCO2,2065.0,0.0183
REGION,EGHF00I00X,EGCO2,2066.0,0.0163
REGION,EGHF00I00X,EGCO2,2067.0,0.0142
REGION,EGHF00I00X,EGCO2,2068.0,0.0121
REGION,EGHF00I00X,EGCO2,2069.0,0.01
REGION,EGHF00I00X,EGCO2,2070.0,0.008
REGION,EGHFGCP01N,EGREN,2016.0,0.0
REGION,EGHFGCP01O,EGREN,2015.0,0.0
REGION,EGHFGCP01O,EGREN,2016.0,0.0
REGION,EGHFGCP01O,EGREN,2017.0,0.0
REGION,EGHFGCP01O,EGREN,2018.0,0.0
REGION,EGHFGCP01O,EGREN,2019.0,0.0
REGION,EGHFGCP01O,EGREN,2020.0,0.0
REGION,EGHFGCP01O,EGREN,2021.0,0.6422
REGION,EGHFGCP01O,EGREN,2022.0,0.6084
REGION,EGHFGCP01O,EGREN,2023.0,0.5746
REGION,EGHFGCP01O,EGREN,2024.0,0.5408
REGION,EGHFGCP01O,EGREN,2025.0,0.507
REGION,EGHFGCP01O,EGREN,2026.0,0.4732
REGION,EGHFGCP01O,EGREN,2027.0,0.4394
REGION,EGHFGCP01O,EGREN,2028.0,0.4056
REGION,EGHFGCP01O,EGREN,2029.0,0.3718
REGION,EGHFGCP01O,EGREN,2030.0,0.338
REGION,EGHFGCP01O,EGREN,2031.0,0.3042
REGION,EGHFGCP01O,EGREN,2032.0,0.2704
REGION,EGHFGCP01O,EGREN,2033.0,0.2366
REGION,EGHFGCP01O,EGREN,2034.0,0.2028
REGION,EGHFGCP01O,EGREN,2035.0,0.169
REGION,EGHFGCP01O,EGREN,2036.0,0.1352
REGION,EGHFGCP01O,EGREN,2037.0,0.1014
REGION,EGHFGCP01O,EGREN,2038.0,0.0676
REGION,EGHFGCP01O,EGREN,2039.0,0.0338
REGION,EGHFGCP02N,EGREN,2015.0,0.0
REGION,EGHFGCP02O,EGREN,2015.0,0.0
REGION,EGHFGCP02O,EGREN,2016.0,0.0
REGION,EGHFGCP02O,EGREN,2017.0,0.0
REGION,EGHFGCP02O,EGREN,2018.0,0.0
REGION,EGHFGCP02O,EGREN,2019.0,0.0
REGION,EGHFGCP02O,EGREN,2020.0,0.0
REGION,EGHFGCP02O,EGREN,2021.0,0.5546
REGION,EGHFGCP02O,EGREN,2022.0,0.5254
REGION,EGHFGCP02O,EGREN,2023.0,0.4963
REGION,EGHFGCP02O,EGREN,2024.0,0.4671
REGION,EGHFGCP02O,EGREN,2025.0,0.4379
REGION,EGHFGCP02O,EGREN,2026.0,0.4087
REGION,EGHFGCP02O,EGREN,2027.0,0.3795
REGION,EGHFGCP02O,EGREN,2028.0,0.3503
REGION,EGHFGCP02O,EGREN,2029.0,0.3211
REGION,EGHFGCP02O,EGREN,2030.0,0.2919
REGION,EGHFGCP02O,EGREN,2031.0,0.2627
REGION,EGHFGCP02O,EGREN,2032.0,0.2335
REGION,EGHFGCP02O,EGREN,2033.0,0.2043
REGION,EGHFGCP02O,EGREN,2034.0,0.1751
REGION,EGHFGCP02O,EGREN,2035.0,0.146
REGION,EGHFGCP02O,EGREN,2036.0,0.1168
REGION,EGHFGCP02O,EGREN,2037.0,0.0876
REGION,EGHFGCP02O,EGREN,2038.0,0.0584
REGION,EGHFGCP02O,EGREN,2039.0,0.0292
REGION,EGHFGCP04O,EGREN,2015.0,0.0
REGION,EGHFGCP04O,EGREN,2016.0,0.0
REGION,EGHFGCP04O,EGREN,2017.0,0.0
REGION,EGHFGCP04O,EGREN,2018.0,0.0
REGION,EGHFGCP04O,EGREN,2019.0,0.0
REGION,EGHFGCP04O,EGREN,2020.0,0.0
REGION,EGHFGCP04O,EGREN,2021.0,4.64
REGION,EGHFGCP04O,EGREN,2022.0,4.3958
REGION,EGHFGCP04O,EGREN,2023.0,4.1516
REGION,EGHFGCP04O,EGREN,2024.0,3.9074
