,y,Amarti-Neshe,Aswan 1,Aswan 2,Baro,Bedden,Birbir,Chemoga Yeda,Dagash,Dal,Esna,Finchaa,Genji,High Aswan Dam,Jebel Aulia,Kajbar,Karadobi,Kashm El Girba ,Lake Tana - Beles,Lakki,Large hydropower plant (Dam),Lower Dedessa,Medium hydropower plant (Run-of river),Merowe,Mograt,Naga Hamadi,New Assiut Barrage,Renaissance,Roseires,Sabaloka,Sennar,Shereik,Sor,Sor 2,Tams,Tekeze 1,Tekeze 2,Tis Abay 1,Tis Abay 2,Upper Atbara,Upper Mandaya
43,2058.0,0.7376,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,0.0,0.0,45.3459,0.3955,10.7853,21.9139,0.0,4.6449,10.0432,44.4918,8.2388,1.6028,33.1627,4.6592,1.9174,0.9509,33.5685,0.0,6.1416,0.0,12.4193,0.0456,0.0,9.3013,7.128,10.8633,0.1749,1.47,2.6234,0.0
44,2059.0,0.7376,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,0.0,3.0836,45.3459,0.3955,10.7853,21.8298,0.0,5.0713,10.0432,44.0892,7.8616,1.6028,33.1627,4.6592,1.9174,0.9509,33.5685,0.0,6.1416,0.0,12.4193,0.0456,0.0,7.9488,5.6538,11.3845,0.1749,1.8533,2.6234,0.0
45,2060.0,0.7376,8.3886,8.089,11.0727,13.9433,0.0,3.1801,9.3473,19.4136,2.3936,0.0,2.8012,45.3459,0.3955,10.7853,21.9139,0.0,4.442,10.0432,41.9744,8.2388,1.6028,33.1627,4.6592,1.9174,0.9509,32.3211,0.0,6.1416,0.0,12.4193,0.0456,0.0714,7.9488,5.6538,10.068,0.1749,1.6233,2.6234,0.0
46,2061.0,0.9631,8.3886,8.089,11.628,13.9433,0.0,2.0298,9.3473,19.4136,2.3936,0.0,3.0836,45.3459,0.3955,10.7853,21.9139,0.0,5.0644,10.0432,37.5646,7.8705,0.5087,33.1627,4.6592,1.9174,0.9509,31.7381,0.0,6.1416,0.0,12.4193,0.0456,0.0714,10.5788,5.6538,9.0288,0.1749,2.2298,2.6234,0.0
47,2062.0,0.8729,8.3886,8.089,13.2019,13.9433,0.0,2.0053,9.3473,19.4136,2.3936,0.0,3.0836,45.3459,0.3955,10.7853,21.9139,0.0,4.6218,10.0432,37.5174,6.534,0.5087,33.1627,4.6592,1.9174,0.9509,29.9886,0.0,6.1416,0.0,12.4193,0.0714,0.0714,9.5347,5.6441,9.0288,0.2614,1.6233,2.6234,0.0
48,2063.0,1.2378,8.3886,8.089,13.2019,13.9433,0.0,2.4841,9.3473,19.4136,2.3936,0.0,1.9705,45.3459,0.3955,10.7853,19.3016,0.0,4.6769,10.0432,36.2693,6.534,0.5087,33.1627,4.6592,1.9174,0.9509,36.5226,0.0,6.1416,0.0,12.4193,0.0489,0.0477,7.9488,5.2409,7.9084,0.2614,2.0807,2.6234,0.0
49,2064.0,0.8744,8.3886,8.089,10.4187,13.9433,0.0,2.0053,9.3473,19.4136,2.3936,0.0,1.9788,45.3459,0.3955,10.7853,17.2888,0.0,5.4793,10.0432,39.6601,5.1827,0.666,33.1627,4.6592,1.9174,0.9509,40.0178,0.0,6.1416,0.0,12.4193,0.0714,0.0477,7.9488,6.849,6.0411,0.2614,1.8533,2.6234,0.0
50,2065.0,0.8744,8.3886,8.089,8.7487,13.9433,0.0,2.0053,9.3473,19.4136,2.3936,0.0,1.9705,45.3459,0.3955,10.7853,21.9139,0.0,3.3932,10.0432,34.4953,4.3718,0.5087,33.1627,4.6592,1.9174,0.9509,50.0206,0.0,6.1416,0.0,12.4193,0.0456,0.0469,7.9488,5.6538,6.0411,0.1749,1.47,2.6234,0.0
51,2066.0,0.8744,8.3886,8.089,13.2019,13.9433,0.0,2.0053,9.3473,19.4136,2.3936,0.0,1.9705,45.3459,0.3955,10.7853,17.2888,0.0,4.0225,10.0303,34.3389,4.3718,0.5087,33.1627,4.6592,1.9174,0.9509,42.3744,0.0,6.1416,0.0,12.4193,0.0456,0.0469,7.9488,7.128,7.1615,0.1749,1.8533,2.6234,0.0
52,2067.0,0.8744,8.3886,8.089,13.2019,13.9433,0.0,2.0053,9.3473,19.4136,2.3936,0.0,1.9705,45.3459,0.3955,10.7853,20.5783,0.0,4.6449,9.9345,47.1244,4.4412,0.3321,33.1627,4.6592,1.9174,0.9509,47.5999,0.0,6.1416,0.0,12.4193,0.0456,0.0469,10.4058,6.5286,7.1615,0.1749,1.47,2.6234,0.0
53,2068.0,0.8744,8.3886,8.089,11.532,13.9354,0.0,2.8034,8.9294,19.1673,2.3936,0.0,1.9705,45.3459,0.3955,10.3032,14.2697,0.0,4.0156,9.8672,47.3655,4.3718,0.2544,31.9793,4.5041,1.9174,0.9509,47.5999,0.0,6.1416,0.0,12.4193,0.0456,0.0469,11.88,5.6441,7.1615,0.1749,1.8533,2.6234,0.0
54,2069.0,0.8744,8.3886,8.089,13.2019,13.9433,3.217,2.2662,8.9294,19.4136,2.3936,0.0,0.9279,45.3459,0.3955,10.7853,19.3016,0.0,4.6449,9.74,46.0366,4.3718,0.1749,33.1627,4.5041,1.9174,0.9509,49.4178,0.0,6.1416,0.0,12.4193,0.0456,0.0477,10.881,6.5286,7.9084,0.1749,1.8533,2.6234,11.3509
55,2070.0,0.8744,8.3886,8.089,13.2019,13.9433,3.217,2.0053,8.9294,18.5458,2.3936,0.0,1.9705,45.3459,0.3955,10.7853,14.2697,0.0,5.6937,9.6372,46.7697,5.6293,0.2526,33.1627,4.5041,1.9174,0.9509,47.5999,0.0,6.1416,0.0,11.8727,0.0559,0.0469,14.31,7.9866,6.0206,0.2073,2.2324,2.6234,17.509
