r,l,t,m,y,RateOfActivity
REGION,S3D2,EGWA00000X,1,2047, 2.5349814981817122e+04
REGION,S4D1,EGWA00000X,1,2047, 32541.8332434503
REGION,S4D2,EGWA00000X,1,2047, 3.0037137177839006e+04
REGION,S1D1,EGWA00000X,1,2048, 3.4994419789098334e+04
REGION,S1D2,EGWA00000X,1,2048, 2.7632924221670910e+04
REGION,S2D1,EGWA00000X,1,2048, 3.9193859168980234e+04
REGION,S2D2,EGWA00000X,1,2048, 3.2678954555669097e+04
REGION,S3D1,EGWA00000X,1,2048, 39193.8890284969
REGION,S3D2,EGWA00000X,1,2048, 2.6924792281992504e+04
REGION,S4D1,EGWA00000X,1,2048, 33240.4658494275
REGION,S4D2,EGWA00000X,1,2048, 2.9125584023203162e+04
REGION,S1D1,EGWA00000X,1,2049, 3.5123016333930704e+04
REGION,S1D2,EGWA00000X,1,2049, 2.8362855864633580e+04
REGION,S2D1,EGWA00000X,1,2049, 4.0567226812084889e+04
REGION,S2D2,EGWA00000X,1,2049, 3.3365934715671610e+04
REGION,S3D1,EGWA00000X,1,2049, 3.7868851583591750e+04
REGION,S3D2,EGWA00000X,1,2049, 2.5752787677263008e+04
REGION,S4D1,EGWA00000X,1,2049, 3.3921119917638025e+04
REGION,S4D2,EGWA00000X,1,2049, 3.1223060310348214e+04
REGION,S1D1,EGWA00000X,1,2050, 3.5626382589172565e+04
REGION,S1D2,EGWA00000X,1,2050, 3.0216729530108754e+04
REGION,S2D1,EGWA00000X,1,2050, 4.1300673105368587e+04
REGION,S2D2,EGWA00000X,1,2050, 3.4070695713134206e+04
REGION,S3D1,EGWA00000X,1,2050, 3.8545588249821194e+04
REGION,S3D2,EGWA00000X,1,2050, 2.5232348423603649e+04
REGION,S4D1,EGWA00000X,1,2050, 3.4575046732912742e+04
REGION,S4D2,EGWA00000X,1,2050, 3.1792690915938427e+04
REGION,S1D1,EGWA00000X,1,2051, 3.6586453546693534e+04
REGION,S1D2,EGWA00000X,1,2051, 2.9513967322711265e+04
REGION,S2D1,EGWA00000X,1,2051, 4.2276620851695974e+04
REGION,S2D2,EGWA00000X,1,2051, 3.4758410259970857e+04
REGION,S3D1,EGWA00000X,1,2051, 3.8613855986451032e+04
REGION,S3D2,EGWA00000X,1,2051, 2.6848098408630216e+04
REGION,S4D1,EGWA00000X,1,2051, 3.5266703693354662e+04
REGION,S4D2,EGWA00000X,1,2051, 3.2388664759102521e+04
REGION,S1D1,EGWA00000X,1,2052, 3.7093157075099210e+04
REGION,S1D2,EGWA00000X,1,2052, 3.0310985608876639e+04
REGION,S2D1,EGWA00000X,1,2052, 4.3136993739578684e+04
REGION,S2D2,EGWA00000X,1,2052, 3.5459410795106589e+04
REGION,S3D1,EGWA00000X,1,2052, 3.9071505747260278e+04
REGION,S3D2,EGWA00000X,1,2052, 2.7329639653859660e+04
REGION,S4D1,EGWA00000X,1,2052, 3.5957146475053290e+04
REGION,S4D2,EGWA00000X,1,2052, 32977.9497894796
REGION,S1D1,EGWA00000X,1,2053, 3.6064581301709004e+04
REGION,S1D2,EGWA00000X,1,2053, 3.2064326203203007e+04
REGION,S2D1,EGWA00000X,1,2053, 4.3860744701568685e+04
REGION,S2D2,EGWA00000X,1,2053, 3.6137915551881175e+04
REGION,S3D1,EGWA00000X,1,2053, 3.9545004545490025e+04
REGION,S3D2,EGWA00000X,1,2053, 3.1416184390498136e+04
REGION,S4D1,EGWA00000X,1,2053, 3.0146590806631855e+04
REGION,S4D2,EGWA00000X,1,2053, 3.3460822720506869e+04
REGION,S1D1,EGWA00000X,1,2054, 3.8718490389169143e+04
REGION,S1D2,EGWA00000X,1,2054, 3.1595601161088653e+04
