r,t,e,y,AnnualTechnologyEmission
REGION,SDSOFPVKS3,SDREN,2064.0,-0.0779
REGION,SDSOFPVKS3,SDREN,2065.0,-0.0779
REGION,SDSOFPVKS3,SDREN,2066.0,-0.1008
REGION,SDSOFPVKS3,SDREN,2067.0,-0.0633
REGION,SDSOFPVKS3,SDREN,2068.0,-0.0633
REGION,SDSOFPVKS3,SDREN,2069.0,-0.0893
REGION,SDSOFPVKS3,SDREN,2070.0,-0.1112
REGION,SDSOFPVMG3,SDREN,2040.0,-4.9262
REGION,SDSOFPVMG3,SDREN,2041.0,-4.9262
REGION,SDSOFPVMG3,SDREN,2042.0,-4.9262
REGION,SDSOFPVMG3,SDREN,2043.0,-4.9262
REGION,SDSOFPVMG3,SDREN,2044.0,-4.9262
REGION,SDSOFPVMG3,SDREN,2045.0,-4.9262
REGION,SDSOFPVMG3,SDREN,2046.0,-4.9262
REGION,SDSOFPVMG3,SDREN,2047.0,-4.9262
REGION,SDSOFPVMG3,SDREN,2048.0,-4.0745
REGION,SDSOFPVMG3,SDREN,2049.0,-4.0745
REGION,SDSOFPVMG3,SDREN,2050.0,-4.0745
REGION,SDSOFPVMG3,SDREN,2051.0,-4.0745
REGION,SDSOFPVMG3,SDREN,2052.0,-4.0745
REGION,SDSOFPVMG3,SDREN,2053.0,-5.1232
REGION,SDSOFPVMG3,SDREN,2054.0,-5.1232
REGION,SDSOFPVMG3,SDREN,2055.0,-5.1232
REGION,SDSOFPVMG3,SDREN,2056.0,-5.1232
REGION,SDSOFPVMG3,SDREN,2057.0,-5.1232
REGION,SDSOFPVMG3,SDREN,2058.0,-5.1232
REGION,SDSOFPVMG3,SDREN,2059.0,-5.1232
REGION,SDSOFPVMG3,SDREN,2060.0,-4.2375
REGION,SDSOFPVMG3,SDREN,2061.0,-4.2375
REGION,SDSOFPVMG3,SDREN,2062.0,-3.4573
REGION,SDSOFPVMG3,SDREN,2063.0,-3.4573
REGION,SDSOFPVMG3,SDREN,2064.0,-3.4573
REGION,SDSOFPVMG3,SDREN,2065.0,-2.565
REGION,SDSOFPVMG3,SDREN,2066.0,-3.3452
REGION,SDSOFPVMG3,SDREN,2067.0,-2.1238
REGION,SDSOFPVMG3,SDREN,2068.0,-3.016
REGION,SDSOFPVMG3,SDREN,2069.0,-3.016
REGION,SDSOFPVMG3,SDREN,2070.0,-2.565
REGION,SDSOFPVMR3,SDREN,2029.0,-5.6326
REGION,SDSOFPVMR3,SDREN,2030.0,-4.861
REGION,SDSOFPVMR3,SDREN,2031.0,-4.861
REGION,SDSOFPVMR3,SDREN,2032.0,-9.7219
REGION,SDSOFPVMR3,SDREN,2033.0,-14.5829
REGION,SDSOFPVMR3,SDREN,2034.0,-19.4439
REGION,SDSOFPVMR3,SDREN,2035.0,-19.4439
REGION,SDSOFPVMR3,SDREN,2036.0,-20.092
REGION,SDSOFPVMR3,SDREN,2037.0,-20.092
REGION,SDSOFPVMR3,SDREN,2038.0,-20.092
REGION,SDSOFPVMR3,SDREN,2039.0,-20.092
REGION,SDSOFPVMR3,SDREN,2040.0,-20.092
REGION,SDSOFPVMR3,SDREN,2041.0,-20.092
REGION,SDSOFPVMR3,SDREN,2042.0,-20.092
REGION,SDSOFPVMR3,SDREN,2043.0,-20.092
REGION,SDSOFPVMR3,SDREN,2044.0,-20.092
REGION,SDSOFPVMR3,SDREN,2045.0,-20.092
REGION,SDSOFPVMR3,SDREN,2046.0,-20.092
REGION,SDSOFPVMR3,SDREN,2047.0,-20.092
REGION,SDSOFPVMR3,SDREN,2048.0,-20.092
REGION,SDSOFPVMR3,SDREN,2049.0,-16.5656
REGION,SDSOFPVMR3,SDREN,2050.0,-20.092
REGION,SDSOFPVMR3,SDREN,2051.0,-20.092
REGION,SDSOFPVMR3,SDREN,2052.0,-16.5656
REGION,SDSOFPVMR3,SDREN,2053.0,-16.5656
REGION,SDSOFPVMR3,SDREN,2054.0,-16.5656
REGION,SDSOFPVMR3,SDREN,2055.0,-16.5656
REGION,SDSOFPVMR3,SDREN,2056.0,-16.5656
REGION,SDSOFPVMR3,SDREN,2057.0,-16.5656
REGION,SDSOFPVMR3,SDREN,2058.0,-16.5656
REGION,SDSOFPVMR3,SDREN,2059.0,-16.5656
REGION,SDSOFPVMR3,SDREN,2060.0,-16.5656
REGION,SDSOFPVMR3,SDREN,2061.0,-20.092
REGION,SDSOFPVMR3,SDREN,2062.0,-16.5656
REGION,SDSOFPVMR3,SDREN,2063.0,-16.5656
REGION,SDSOFPVMR3,SDREN,2064.0,-18.3807
REGION,SDSOFPVMR3,SDREN,2065.0,-20.092
REGION,SDSOFPVMR3,SDREN,2066.0,-9.898
REGION,SDSOFPVMR3,SDREN,2067.0,-12.0688
REGION,SDSOFPVMR3,SDREN,2068.0,-8.1877
REGION,SDSOFPVMR3,SDREN,2069.0,-13.4244
REGION,SDSOFPVMR3,SDREN,2070.0,-9.898
REGION,SDSOFPVRS3,SDREN,2059.0,-0.4214
REGION,SDSOFPVRS3,SDREN,2060.0,-3.0753
REGION,SDSOFPVRS3,SDREN,2061.0,-3.0753
REGION,SDSOFPVRS3,SDREN,2062.0,-2.4597
REGION,SDSOFPVRS3,SDREN,2063.0,-2.4597
REGION,SDSOFPVRS3,SDREN,2064.0,-1.7755
REGION,SDSOFPVRS3,SDREN,2065.0,-1.7755
REGION,SDSOFPVRS3,SDREN,2066.0,-2.3911
REGION,SDSOFPVRS3,SDREN,2067.0,-1.4289
REGION,SDSOFPVRS3,SDREN,2068.0,-1.4289
REGION,SDSOFPVRS3,SDREN,2069.0,-1.4289
REGION,SDSOFPVRS3,SDREN,2070.0,-1.4289
REGION,SDSOFPVSB3,SDREN,2034.0,-1.357
REGION,SDSOFPVSB3,SDREN,2035.0,-1.357
REGION,SDSOFPVSB3,SDREN,2036.0,-3.2634
REGION,SDSOFPVSB3,SDREN,2037.0,-3.2634
REGION,SDSOFPVSB3,SDREN,2038.0,-3.2634
REGION,SDSOFPVSB3,SDREN,2039.0,-3.2634
REGION,SDSOFPVSB3,SDREN,2040.0,-3.2634
REGION,SDSOFPVSB3,SDREN,2041.0,-3.2634
REGION,SDSOFPVSB3,SDREN,2042.0,-3.2634
REGION,SDSOFPVSB3,SDREN,2043.0,-3.2634
REGION,SDSOFPVSB3,SDREN,2044.0,-3.2634
REGION,SDSOFPVSB3,SDREN,2045.0,-3.2634
REGION,SDSOFPVSB3,SDREN,2046.0,-2.6782
