r,t,y,AnnualFixedOperatingCost
REGION,EGNGCCP01N,2069, 9.4508863534520316e+01
REGION,EGNGCCP01N,2070, 9.4508863534520316e+01
REGION,EGNGCCP02N,2018, 240
REGION,EGNGCCP02N,2019, 240
REGION,EGNGCCP02N,2020, 240
REGION,EGNGCCP02N,2021, 240
REGION,EGNGCCP02N,2022, 240
REGION,EGNGCCP02N,2023, 240
REGION,EGNGCCP02N,2024, 240
REGION,EGNGCCP02N,2025, 240
REGION,EGNGCCP02N,2026, 240
REGION,EGNGCCP02N,2027, 240
REGION,EGNGCCP02N,2028, 240
REGION,EGNGCCP02N,2029, 240
REGION,EGNGCCP02N,2030, 240
REGION,EGNGCCP02N,2031, 240
REGION,EGNGCCP02N,2032, 240
REGION,EGNGCCP02N,2033, 240
REGION,EGNGCCP02N,2034, 240
REGION,EGNGCCP02N,2035, 240
REGION,EGNGCCP02N,2036, 240
REGION,EGNGCCP02N,2037, 240
REGION,EGNGCCP02N,2038, 240
REGION,EGNGCCP02N,2039, 240
REGION,EGNGCCP02N,2040, 240
REGION,EGNGCCP02N,2041, 240
REGION,EGNGCCP02N,2042, 240
REGION,EGNGCCP02N,2043, 240
REGION,EGNGCCP02N,2044, 240
REGION,EGNGCCP02N,2045, 240
REGION,EGNGCCP02N,2046, 240
REGION,EGNGCCP02N,2047, 240
REGION,EGNGCCP02N,2048, 37.5
REGION,EGNGCCP02N,2049, 4.3113661444419918e+01
REGION,EGNGCCP02N,2050, 4.3113661444419918e+01
REGION,EGNGCCP02N,2051, 4.3113661444419918e+01
REGION,EGNGCCP02N,2052, 4.3113661444419918e+01
REGION,EGNGCCP02N,2053, 4.3113661444419918e+01
REGION,EGNGCCP02N,2054, 4.3113661444419918e+01
REGION,EGNGCCP02N,2055, 8.0613661444419918e+01
REGION,EGNGCCP02N,2056, 1.1811366144441992e+02
REGION,EGNGCCP02N,2057, 1.1811366144441992e+02
REGION,EGNGCCP02N,2058, 1.2020598886397224e+02
REGION,EGNGCCP02N,2059, 1.2020598886397224e+02
REGION,EGNGCCP02N,2060, 1.2020598886397224e+02
REGION,EGNGCCP02N,2061, 1.2020598886397224e+02
REGION,EGNGCCP02N,2062, 1.2020598886397224e+02
REGION,EGNGCCP02N,2063, 1.2020598886397224e+02
REGION,EGNGCCP02N,2064, 1.2020598886397224e+02
REGION,EGNGCCP02N,2065, 1.2020598886397224e+02
REGION,EGNGCCP02N,2066, 1.2020598886397224e+02
REGION,EGNGCCP02N,2067, 1.2020598886397224e+02
REGION,EGNGCCP02N,2068, 1.2020598886397224e+02
REGION,EGNGCCP02N,2069, 1.2020598886397224e+02
REGION,EGNGCCP02N,2070, 1.2020598886397224e+02
REGION,EGNGCCP04N,2015, 6.25
REGION,EGNGCCP04N,2016, 18.75
REGION,EGNGCCP04N,2017, 37.5
REGION,EGNGCCP04N,2018, 157.5
REGION,EGNGCCP04N,2019, 157.5
REGION,EGNGCCP04N,2020, 157.5
REGION,EGNGCCP04N,2021, 157.5
REGION,EGNGCCP04N,2022, 157.5
REGION,EGNGCCP04N,2023, 157.5
REGION,EGNGCCP04N,2024, 157.5
REGION,EGNGCCP04N,2025, 157.5
REGION,EGNGCCP04N,2026, 157.5
REGION,EGNGCCP04N,2027, 157.5
REGION,EGNGCCP04N,2028, 157.5
REGION,EGNGCCP04N,2029, 157.5
REGION,EGNGCCP04N,2030, 157.5
REGION,EGNGCCP04N,2031, 157.5
REGION,EGNGCCP04N,2032, 157.5
REGION,EGNGCCP04N,2033, 157.5
REGION,EGNGCCP04N,2034, 157.5
REGION,EGNGCCP04N,2035, 157.5
REGION,EGNGCCP04N,2036, 157.5
REGION,EGNGCCP04N,2037, 157.5
REGION,EGNGCCP04N,2038, 157.5
REGION,EGNGCCP04N,2039, 157.5
REGION,EGNGCCP04N,2040, 157.5
REGION,EGNGCCP04N,2041, 157.5
REGION,EGNGCCP04N,2042, 157.5
REGION,EGNGCCP04N,2043, 157.5
REGION,EGNGCCP04N,2044, 157.5
REGION,EGNGCCP04N,2045, 151.25
REGION,EGNGCCP04N,2046, 138.75
REGION,EGNGCCP04N,2047, 1.2560539326209522e+02
REGION,EGNGCCP04N,2048, 4.3105393262095220e+01
REGION,EGNGCCP04N,2049, 58.768936831168
REGION,EGNGCCP04N,2050, 58.768936831168
REGION,EGNGCCP04N,2051, 58.768936831168
REGION,EGNGCCP04N,2052, 58.768936831168
REGION,EGNGCCP04N,2053, 58.768936831168
REGION,EGNGCCP04N,2054, 58.768936831168
REGION,EGNGCCP04N,2055, 87.9305966336795
REGION,EGNGCCP04N,2056, 87.9305966336795
REGION,EGNGCCP04N,2057, 1.0688899893746597e+02
REGION,EGNGCCP04N,2058, 1.0693794594516173e+02
REGION,EGNGCCP04N,2059, 1.1985723945479995e+02
