,y,Biomass & Waste CHP plant with CCS - OTF/OTS cooling (new),Biomass & Waste CHP plant - OTF/OTS cooling (new),Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant with CCS - OTF/OTS cooling (new),Coal power plant - OTF/OTS cooling (new),Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Oil fired gas turbine (SCGT) - OTF/OTS cooling (old),Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Light Fuel Oil power plant - OTF/OTS cooling (new),Light Fuel Oil power plant - OTF/OTS cooling (old),Natural gas power plant (combined cycle) - CCS - Air cooling (new),Natural gas power plant (combined cycle) - CCS  - MDT cooling (new),Natural gas power plant (combined cycle) - CCS  - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - Air cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - MDT cooling (old),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (old),Natural gas power plant (single cycle) - MDT cooling (old),Natural gas power plant (single cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (old),Nuclear power plant - OTS/OTF cooling (new),CSP (without storage),CSP (with storage),Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore),Wind (offshore)
32,2047.0,1.2499999999999998,0.45,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,0.5688524802138878,6.819934572638154,0.16394718398851166,0.26314742587165485,0.0,9.6,0.0,5.024215730483808,0.0,0.0,0.0,0.0,2.5,0.0,0.0,11.0,1.4,1.4,12.25,3.75
33,2048.0,1.2499999999999998,0.45,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,1.8910070858555719,8.319934572638154,0.35840872951261504,1.7631474258716548,0.0,1.5,0.0,1.7242157304838086,0.0,0.0,0.0,0.0,2.5,1.5,0.0,11.75,1.45,1.4500000000000002,12.75,4.5
34,2049.0,1.2499999999999998,0.45,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,1.8910070858555719,8.319934572638154,0.35840872951261504,1.7631474258716548,0.0,1.7245464577767968,0.0,2.35075747324672,0.0,0.0,0.0,0.0,2.5,2.4711016455374732,0.0,12.5,1.5,1.5,13.25,5.25
35,2050.0,1.2499999999999998,0.45,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,1.8910070858555719,8.319934572638154,0.35840872951261504,1.8561968283443193,0.0,1.7245464577767968,0.0,2.35075747324672,0.0,0.0,0.0,0.0,2.5,3.9711016455374732,0.0,13.25,1.55,1.5500000000000003,13.75,6.0
36,2051.0,1.3499999999999999,0.45,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,1.8910070858555719,8.319934572638154,0.35840872951261504,1.8561968283443193,0.0,1.7245464577767968,0.0,2.35075747324672,0.0,0.0,0.0,0.0,2.992522590110364,3.9711016455374732,0.0,14.0,1.6,1.6,14.25,6.75
37,2052.0,1.45,0.45,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,1.8910070858555719,8.319934572638154,0.35840872951261504,1.8561968283443193,0.0,1.7245464577767968,0.0,2.35075747324672,0.0,0.0,0.0,0.0,3.330384775138061,3.9711016455374732,0.0,14.75,1.65,1.65,14.75,7.5
38,2053.0,1.4999999999999998,0.45,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,1.8910070858555719,8.319934572638154,0.35840872951261504,1.8561968283443193,0.0,1.7245464577767968,0.0,2.35075747324672,0.0,0.0,0.0,0.0,3.5,4.368093055169829,0.0,15.25,1.7,1.6999999999999997,15.25,8.25
39,2054.0,1.4999999999999998,0.45,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,1.8910070858555719,8.319934572638154,0.35840872951261504,1.8561968283443193,0.0,1.7245464577767968,0.0,2.35075747324672,0.0,0.0,0.0,0.0,3.5,5.346648642933655,0.0,15.75,1.75,1.75,15.75,9.0
40,2055.0,1.4999999999999998,0.45,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,1.8910070858555719,8.319934572638154,0.35840872951261504,1.8561968283443193,0.0,3.2245464577767966,0.0,3.51722386534718,0.0,0.0,0.0,0.0,3.5,5.346648642933655,0.0,16.25,1.8,1.7999999999999998,16.25,9.75
41,2056.0,1.4999999999999998,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,1.8910070858555719,8.319934572638154,0.35840872951261504,3.2972727586639277,0.0,4.724546457776797,0.0,3.51722386534718,0.0,0.0,1.3737228494276457,0.0,3.5,5.346648642933655,0.0,16.5,1.85,1.85,16.5,10.5
42,2057.0,1.4999999999999998,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,1.8910070858555719,8.319934572638154,0.35840872951261504,3.2972727586639277,0.0,4.724546457776797,0.0,4.275559957498639,0.0,0.0,1.3737228494276457,0.0,3.5,5.698125639195055,0.0,16.75,1.9,1.9,16.75,11.25
43,2058.0,1.4999999999999998,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,1.8910070858555719,8.319934572638154,0.35840872951261504,3.7803545413808126,0.0,4.80823955455889,0.0,4.277517837806469,0.0,0.0,1.3737228494276457,0.0,3.5,6.545257059023677,0.0,17.0,1.95,1.9499999999999997,17.0,12.0
44,2059.0,1.4999999999999998,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,1.8910070858555719,8.319934572638154,0.35840872951261504,3.7803545413808126,0.0,4.80823955455889,0.0,4.794289578191998,0.0,0.0,1.3737228494276457,0.0,3.5,7.423984875882887,0.0,17.25,2.0,2.0,17.25,12.75
45,2060.0,1.4999999999999998,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,1.8910070858555719,8.319934572638154,0.35840872951261504,3.7803545413808126,0.0,4.80823955455889,0.0,4.794289578191998,0.0,0.0,1.3737228494276457,0.0,3.5,8.2,1.0423040387492262,17.5,2.05,2.05,17.5,13.5
46,2061.0,1.4999999999999998,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,1.8910070858555719,8.319934572638154,0.35840872951261504,3.7803545413808126,0.0,4.80823955455889,0.0,4.794289578191998,0.0,0.0,1.3737228494276457,0.0,3.5,8.4,2.0866373838793906,18.0,2.0999999999999996,2.0999999999999996,18.0,14.5
47,2062.0,1.4999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,1.8910070858555719,8.319934572638154,0.35840872951261504,3.7803545413808126,0.0,4.80823955455889,0.0,4.794289578191998,0.0,0.0,1.4302248921069314,0.0,3.5,8.6,3.205111628260366,18.5,2.15,2.15,18.5,15.5
48,2063.0,1.4999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,1.8910070858555719,8.319934572638154,0.35840872951261504,3.7803545413808126,0.0,4.80823955455889,0.0,4.794289578191998,0.0,0.0,1.4516657614807114,0.0,3.5,8.8,4.363150339784868,19.0,2.2000000000000006,2.2,19.0,16.5
49,2064.0,1.4999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,1.8910070858555719,8.319934572638154,0.35840872951261504,3.7803545413808126,0.0,4.80823955455889,0.0,4.794289578191998,0.0,0.0,1.4604725620036114,0.0,3.5,9.0,5.608344090311263,19.5,2.250000000000001,2.25,19.5,17.5
50,2065.0,1.4999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,1.8910070858555719,8.319934572638154,0.35840872951261504,3.7803545413808126,0.0,4.80823955455889,0.0,4.794289578191998,0.0,0.0,1.4604725620036114,0.0,3.5,9.2,6.937737512732864,20.0,2.3000000000000007,2.3,20.0,18.5
51,2066.0,1.4999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,1.8910070858555719,8.319934572638154,0.35840872951261504,3.7803545413808126,0.0,4.80823955455889,0.0,4.794289578191998,0.0,0.0,1.4604725620036114,0.0,3.5,9.4,8.715165003294148,20.25,2.3500000000000005,2.35,20.25,19.5
52,2067.0,1.4999999999999998,0.0,0.0,0.5739693159886005,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,1.8910070858555719,8.319934572638154,0.35840872951261504,3.7803545413808126,0.0,4.80823955455889,0.0,4.794289578191998,0.0,0.0,1.4604725620036114,0.0,3.5,9.6,9.6,20.5,2.4000000000000004,2.4,20.5,20.5
53,2068.0,1.4999999999999998,0.0,0.0,2.118968121259453,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,1.8910070858555719,8.319934572638154,0.35840872951261504,3.7803545413808126,0.0,4.80823955455889,0.0,4.794289578191998,0.0,0.0,1.4604725620036114,0.0,3.5,9.8,9.8,20.75,2.45,2.45,20.75,20.75
54,2069.0,1.4999999999999998,0.0,0.0,3.7485977916686473,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,1.8910070858555719,8.319934572638154,0.35840872951261504,3.7803545413808126,0.0,4.80823955455889,0.0,4.794289578191998,0.0,0.0,1.4604725620036114,0.0,3.5,10.0,10.0,21.0,2.5,2.5,21.0,21.0
55,2070.0,1.5,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,1.18168,4.192,0.0,0.0,2.0498147609690696,9.07804540808238,0.35840872951261504,3.7803545413808126,0.0,4.80823955455889,0.0,4.794289578191998,0.0,0.0,1.4861058522652868,0.0,3.5,10.2,10.2,21.25,2.55,2.55,21.25,21.25
