,y,Biomass & Waste CHP plant with CCS - OTF/OTS cooling (new),Biomass & Waste CHP plant - OTF/OTS cooling (new),Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant with CCS - OTF/OTS cooling (new),Coal power plant - OTF/OTS cooling (new),Egypt - Jordan Historic EL trade link,Egypt - Saudi Arabia Planned EL trade link,Egypt - Sudan Historic and Planned EL trade link,Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Oil fired gas turbine (SCGT) - OTF/OTS cooling (old),Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Light Fuel Oil power plant - OTF/OTS cooling (old),Libya - Egypt Historic EL trade link,Natural gas power plant (combined cycle) - CCS - Air cooling (new),Natural gas power plant (combined cycle) - CCS  - MDT cooling (new),Natural gas power plant (combined cycle) - CCS  - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - Air cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - MDT cooling (old),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (old),Natural gas power plant (single cycle) - MDT cooling (old),Natural gas power plant (single cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (old),Nuclear power plant - OTS/OTF cooling (new),CSP (without storage),CSP (with storage),Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore),Wind (offshore)
34,2049.0,36.6606,7.1268,0.0,0.0,26.4018,0.0,0.0,179.7552,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,50.451,221.9713,9.5621,19.5999,0.0,14.4438,0.0,58.7076,0.0,0.0,0.0,0.0,67.014,32.0784,0.0,83.4277,10.0113,14.7417,166.1807,67.3806
35,2050.0,36.6606,7.1268,0.0,0.0,21.2728,0.0,0.0,179.7552,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,50.451,221.9713,9.5621,20.6343,0.0,14.4438,0.0,49.0625,0.0,0.0,0.0,0.0,67.014,51.5505,0.0,88.4333,10.345,15.2331,172.4517,77.0064
36,2051.0,39.5934,7.1268,0.0,0.0,24.1676,0.0,0.0,171.766,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,50.451,221.9713,9.5621,26.0391,0.0,19.1708,0.0,36.9906,0.0,0.0,0.0,0.0,80.2164,51.5505,0.0,93.439,10.6787,15.7245,178.7227,86.6322
37,2052.0,42.5263,7.1268,0.0,0.0,25.2087,0.0,0.0,169.7599,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,50.451,221.9713,9.5621,15.5464,0.0,19.1708,0.0,46.4482,0.0,0.0,0.0,0.0,89.273,51.5505,0.0,98.4447,11.0125,16.2159,184.9937,96.258
38,2053.0,43.9927,7.1268,0.0,0.0,25.6561,0.0,0.0,172.2787,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,50.451,221.9713,9.5621,15.5464,0.0,19.1708,0.0,44.8874,0.0,0.0,0.0,0.0,93.8196,56.704,0.0,101.7818,11.3462,16.7073,191.2646,105.8838
39,2054.0,43.9927,7.1268,0.0,0.0,25.1773,0.0,0.0,175.4729,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,50.451,221.9713,9.5621,15.5464,0.0,19.1708,0.0,42.981,0.0,0.0,0.0,0.0,93.8196,69.4071,0.0,105.1189,11.6799,17.1987,197.5356,115.5096
40,2055.0,43.9927,7.1268,0.0,0.0,13.3312,0.0,0.0,176.7698,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,50.451,221.9713,9.5621,15.5464,0.0,49.9359,0.0,37.2445,0.0,0.0,0.0,0.0,93.8196,69.4071,0.0,108.456,12.0136,17.6901,203.8066,125.1353
41,2056.0,43.9927,3.1675,0.0,0.0,0.0,0.0,0.0,174.8089,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,43.5961,221.9713,9.5621,27.616,0.0,88.4027,0.0,29.2439,0.0,0.0,3.8491,0.0,93.8196,69.4071,0.0,110.1245,12.3473,18.1815,206.9421,134.7611
42,2057.0,43.9927,3.1675,0.0,0.0,0.0,0.0,0.0,174.221,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,50.451,221.9713,9.5621,27.616,0.0,85.7558,0.0,42.3631,0.0,0.0,3.8491,0.0,93.8196,73.9697,0.0,111.7931,12.681,18.6728,210.0775,144.3869
43,2058.0,43.9927,3.1675,0.0,0.0,0.0,0.0,0.0,173.314,0.0,0.0,0.0,0.0,0.0,0.0063,17.7011,62.7945,0.0,5.0931,50.451,221.9713,9.5621,42.0241,0.0,90.1497,0.0,35.8259,0.0,0.0,3.8491,0.0,93.8196,84.9667,0.0,113.4616,13.0147,19.1642,213.213,154.0127
