,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - OTF/OTS cooling (new),Egypt - Sudan Historic and Planned EL trade link,Ethiopia - Sudan EL existing trade link,Geothermal power plant - MDT cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (old),Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Solar PV (utility),Solar PV (roof top),Solar PV with storage
36,2051.0,0.0,130.0369,-72.6398,1.4866,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,0.3585,0.0,158.2676,86.6825
37,2052.0,0.0,130.0369,-68.9569,1.4182,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,0.0,2.2124,166.7893,86.6825
38,2053.0,0.0,130.0369,-65.9895,1.3598999999999999,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,0.0,2.9855,177.4779,86.6825
39,2054.0,0.0,130.0369,-62.6575,1.3119999999999998,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,0.0,4.6263,187.5377,86.6825
40,2055.0,0.0,130.0369,-84.8982,1.8412000000000002,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,0.0,22.4032,203.3089,90.7923
41,2056.0,0.0,130.0369,-97.3129,2.4017999999999997,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,0.0,40.1801,214.3143,90.7923
42,2057.0,0.0,130.0369,-107.8857,2.3665000000000003,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,0.0,57.957,224.6777,90.7923
43,2058.0,0.0,126.4294,-110.1368,2.8419999999999996,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,0.0,71.8157,236.6192,88.2029
44,2059.0,0.0,127.2293,-105.2151,3.5504,10.7222,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,0.0,74.3055,245.5076,88.5589
45,2060.0,0.0,128.5433,-97.4905,3.7264,10.7222,0.0,0.0,0.342,26.9593,44.9388,0.0,0.0,0.0,0.0,74.5329,254.3961,88.9835
46,2061.0,0.0,127.5037,-98.8986,3.7264,10.7222,0.0,0.0,0.342,25.758,44.686,0.0,0.0,0.0,0.0,83.0395,263.9562,88.7843
47,2062.0,0.0,127.2436,-96.7441,3.7264,10.7222,0.0,0.0,0.3769,25.758,43.9116,0.0,0.0,0.0,0.0,87.3658,272.7554,88.7521
48,2063.0,0.0,126.2817,-95.84339999999999,3.7264,10.7222,0.0,0.0,0.3769,25.758,42.93,0.0,0.0,0.0,0.0,94.1038,281.7639,88.7219
49,2064.0,0.0,121.1795,-102.6695,3.1724000000000006,9.7308,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,0.0,107.1734,294.7134,88.0568
50,2065.0,0.0,119.3423,-103.276,3.7264,10.7222,0.0,0.0,0.3769,25.758,42.93,0.0,0.0,0.0,0.0,118.1774,303.2739,88.1817
51,2066.0,0.0,114.5339,-105.1245,2.6184000000000003,10.2742,0.0,0.0,0.3769,26.9633,44.9388,0.0,0.0,0.0,0.0,123.8258,319.1922,87.0894
52,2067.0,0.0,108.1763,-108.3991,3.1724000000000006,9.7308,0.0,0.0,0.342,25.758,42.93,0.0,0.0,0.0,0.0,141.773,330.6632,86.799
53,2068.0,0.0,106.3661,-107.20349999999999,3.1724000000000006,9.7308,0.0,0.0,0.342,25.758,42.93,0.0,0.0,0.0,0.0,156.5112,332.4454,88.2076
54,2069.0,0.0,105.8206,-105.2582,2.6054,9.7308,0.0,0.0,0.342,25.758,42.93,0.0,0.0,0.0,0.0,161.5966,343.6648,88.0469
55,2070.0,0.0,87.0622,-85.7229,2.0519999999999996,9.7308,0.0,0.0,0.3769,25.758,42.93,0.0,0.0,0.0,0.0,173.6343,347.6321,89.1708
