,y,Biomass & Waste CHP plant - OTF/OTS cooling (new),Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - OTF/OTS cooling (new),Egypt - Jordan Historic EL trade link,Egypt - Saudi Arabia Planned EL trade link,Egypt - Sudan Historic and Planned EL trade link,Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Oil fired gas turbine (SCGT) - OTF/OTS cooling (old),Aswan 1,Aswan 2,Esna,High Aswan Dam,Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),New Assiut Barrage,Naga Hamadi,Light Fuel Oil power plant - OTF/OTS cooling (new),Light Fuel Oil power plant - OTF/OTS cooling (old),Libya - Egypt Historic EL trade link,Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - Air cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - MDT cooling (old),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (old),Natural gas power plant (single cycle) - MDT cooling (old),Natural gas power plant (single cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (old),CSP (without storage),CSP (with storage),Aswan 1 FPV,Aswan 2 FPV,High Aswan Dam FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore),Wind (offshore)
32,2047.0,10.2943,0.0,413.5316,0.0,0.0,73.3052,0.0,0.0,0.0,0.0,0.0,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.0,5.0931,145.1948,0.0,298.5389,0.0,369.1822,0.0,0.0,2.2758,0.0,2.5963,3.2664,0.9041,0.8718,6.7688,76.466,9.3439,13.7589,153.6388,6.8943
33,2048.0,10.2943,0.0,453.5508,0.0,0.0,164.6473,0.0,0.0,0.0,0.0,0.0,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.0,5.0931,206.8702,0.0,215.0256,0.0,281.14,0.0,0.0,29.4607,0.0,0.0,0.0,0.9041,0.8718,6.7688,79.8031,9.6776,14.2503,159.9098,3.6857
34,2049.0,10.2943,0.0,466.8905,0.0,0.0,156.0286,0.0,0.0,0.0,0.0,0.0,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.0,5.0931,201.8087,0.0,253.8507,0.0,299.0512,0.0,0.0,23.2456,0.0,0.0,0.0,0.9041,0.8718,6.7688,83.1402,10.0113,14.7417,166.1807,0.4771
35,2050.0,10.2943,0.0,480.2302,0.0,0.0,150.9776,0.0,0.0,0.0,0.0,0.0,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.0,5.0931,212.4348,0.0,239.7111,0.0,339.0704,0.0,0.0,22.0373,0.0,0.0,0.0,0.9041,0.8718,6.7688,86.4774,10.345,15.2331,172.4517,0.0
36,2051.0,10.2943,0.0,493.5699,0.0,0.0,148.5915,0.0,0.0,0.0,0.0,0.0,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.0,5.0931,213.2633,0.0,277.3242,0.0,339.0704,0.0,0.0,21.3981,0.0,0.0,0.0,0.9041,0.8718,6.7688,89.8145,10.6787,15.7245,178.7227,0.0
37,2052.0,10.2943,0.0,506.9097,0.0,0.0,146.4534,0.0,0.0,0.0,0.0,0.0,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.0,5.0931,288.252,0.0,240.3398,0.0,339.0704,0.0,0.0,20.724,0.0,0.0,0.0,0.9041,0.8718,6.7688,94.4767,11.0125,16.2159,184.9937,0.9092
38,2053.0,10.2943,0.0,520.2494,0.0,0.0,143.317,0.0,0.0,0.0,0.0,0.0,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.0,5.0931,234.455,0.0,294.6101,0.0,379.0895,0.0,0.0,20.0231,0.0,0.0,0.0,0.9041,0.8718,6.7688,99.4824,11.3462,16.7073,191.2646,2.0903
39,2054.0,10.2943,0.0,533.5891,0.0,0.0,140.2158,0.0,0.0,0.0,0.0,0.0,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.0,5.0931,259.8115,0.0,311.4007,0.0,379.0895,0.0,0.0,19.3586,0.0,0.0,0.0,0.9041,0.8718,6.7688,103.9683,11.6799,17.1987,197.5356,4.2138
40,2055.0,10.2943,0.0,493.5699,0.0,0.0,144.1034,0.0,0.0,0.0,0.0,0.0,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.0,5.0931,250.9335,0.0,371.3016,0.0,419.1087,0.0,0.0,19.3443,0.0,0.0,0.0,0.9041,0.8718,6.7688,108.456,12.0136,17.6901,203.8066,5.3822
41,2056.0,6.335,0.0,453.5508,0.0,0.0,139.798,0.0,0.0,0.0,0.0,0.0,8.3886,8.089,2.3961,45.2983,1.9773,13.7552,15.1893,0.9509,1.9174,0.0,0.0,5.0931,368.1538,0.0,341.9082,0.0,431.5243,0.0,0.0,18.5215,0.0,3.5546,0.0,0.9041,0.8718,6.7688,110.1245,12.3473,18.1815,206.9421,15.008
