r,t,y,SalvageValue
REGION,EGSOC1P00X,2059, 5.1975412428190623e+02
REGION,EGSOC1P00X,2060, 5.2930028763698749e+02
REGION,EGSOC1P00X,2061, 5.3646296116726455e+02
REGION,EGSOC1P00X,2062, 5.4148754635588864e+02
REGION,EGSOC1P00X,2063, 5.4459452449640253e+02
REGION,EGSOC1P00X,2064, 5.4598195952763047e+02
REGION,EGSOC1P00X,2065, 5.4582775175432971e+02
REGION,EGSOC1P00X,2066, 5.4429166707134812e+02
REGION,EGSOC1P00X,2067, 5.4151716387909028e+02
REGION,EGSOC1P00X,2068, 5.3763303770215464e+02
REGION,EGSOC1P00X,2069, 5.3275490156119713e+02
REGION,EGSOC1P00X,2070, 5.2698651836604154e+02
REGION,EGSOC2P00X,2053, 8.2606676679169448e+02
REGION,EGSOC2P00X,2054, 4.4714341915151253e+03
REGION,EGSOC2P00X,2055, 4.7678606486529452e+03
REGION,EGSOC2P00X,2056, 5.0240696391942747e+03
REGION,EGSOC2P00X,2057, 5.2440765420550651e+03
REGION,EGSOC2P00X,2058, 5.4314990430144453e+03
REGION,EGSOC2P00X,2059, 7.4527950101473039e+02
REGION,EGSOC2P00X,2060, 7.6284053699845765e+02
REGION,EGSOC2P00X,2061, 7.7723556835395618e+02
REGION,EGSOC2P00X,2062, 7.8878215544975023e+02
REGION,EGSOC2P00X,2063, 7.9776628573322557e+02
REGION,EGSOC2P00X,2064, 8.0444548979568776e+02
REGION,EGSOC2P00X,2065, 8.0905165181384814e+02
REGION,EGSOC2P00X,2066, 8.1179354418156549e+02
REGION,EGSOC2P00X,2067, 8.1285911325495749e+02
REGION,EGSOC2P00X,2068, 8.1241754051247233e+02
REGION,EGSOC2P00X,2069, 8.1062110107508988e+02
REGION,EGSOC2P00X,2070, 8.0760683939594310e+02
REGION,EGELSDBP00,2021, 1.5864854424046944e+03
REGION,EGELSDBP00,2037, 6.2358221905943753e+02
REGION,EGELSDBP00,2038, 1.3547006707994562e+03
REGION,EGELSDBP00,2039, 877.500955880239
REGION,EGELSDBP00,2040, 1.0508457655352386e+03
REGION,EGELSDBP00,2041, 8.7292576768266585e+01
REGION,ETCRUDPROX,2060, 4808.20484949561
REGION,ETCOSCP01N,2049, 3.2985441271269923e+02
REGION,ETCOSCP01N,2050, 2.3481747689538720e+03
REGION,ETHFGCP02N,2047, 6.9888942615901362e-01
REGION,ETHFGCP02N,2048, 1.3025071543825442e+00
REGION,ETHFGCP02N,2049, 8.5878674307779264e+00
REGION,ETHFGCP02N,2050, 1.2173757736970162e+01
REGION,ETHFGCP02N,2057, 2.9150313160563952e+00
REGION,ETHYDMS03X,2017, 5.2696771435920255e+03
REGION,ETHYDMS03X,2023, 2.0161286541312991e+03
REGION,ETWINDP00X,2064, 1.1468972856040786e+02
REGION,ETWINDP00X,2065, 7.4975573812219477e+02
REGION,ETWINDP00X,2066, 2.7853027150898259e+02
REGION,ETWINDP00X,2067, 8.9676291650412637e+01
REGION,ETWINDP00X,2070, 8.8593113432658038e+02
REGION,ETGOCVP02N,2047, 1.0007750303795650e+02
REGION,ETGOCVP02N,2048, 1.9035720857569351e+02
REGION,ETGOCVP02N,2049, 1.2066146374004710e+02
REGION,ETGOCVP02N,2053, 1.0693591334504958e+02
REGION,ETGOCVP02N,2054, 423.301842123713
REGION,ETGOCVP02N,2055, 6.1540532194577247e+02
REGION,ETGOCVP02N,2056, 6.5412646079787748e+02
REGION,ETGOCVP02N,2057, 688.819577756225
REGION,ETGOCVP02N,2058, 719.863705184025
REGION,ETGOCVP02N,2059, 7.4760224990649249e+02
REGION,ETGOCVP02N,2060, 7.7234633808253250e+02
REGION,ETGOCVP02N,2061, 794.37784634385
REGION,ETGOCVP02N,2062, 813.952148600245
REGION,ETGOCVP02N,2063, 831.300605157375
REGION,ETGOCVP02N,2064, 8.4663281829842254e+02
REGION,ETGOCVP02N,2065, 860.13867621954
REGION,ETGOCVP02N,2066, 8.7199020515903248e+02
REGION,ETGOCVP02N,2067, 882.343247702125
REGION,ETGOCVP02N,2068, 8.9133898355889255e+02
REGION,ETGOCVP02N,2069, 7.6041774780567744e+02
REGION,ETGOCVP02N,2070, 8.1417047508986786e+02
REGION,ETEL00T00X,2017, 1.1013836092893960e+02
REGION,ETEL00T00X,2018, 9.4133523673325925e+01
REGION,ETEL00T00X,2020, 2.0266902176321790e+02
REGION,ETEL00T00X,2021, 57.3812328725771
REGION,ETEL00T00X,2022, 5.7933281674765567e+01
REGION,ETEL00T00X,2023, 9.0769951739449553e+01
REGION,ETEL00T00X,2024, 7.3462714001562546e+01
REGION,ETEL00T00X,2025, 7.9033397815925667e+01
REGION,ETEL00T00X,2026, 8.4003066458139870e+01
REGION,ETEL00T00X,2027, 90.1216118068937
REGION,ETEL00T00X,2028, 9.6554635553961489e+01
REGION,ETEL00T00X,2029, 1.0331398589641381e+02
REGION,ETEL00T00X,2030, 1.1042668158506889e+02
REGION,ETEL00T00X,2031, 9.3569084526142433e+01
REGION,ETEL00T00X,2032, 1.0421612120330198e+02
REGION,ETEL00T00X,2033, 1.0519069514103154e+02
REGION,ETEL00T00X,2034, 9.4673932732791968e+01
REGION,ETEL00T00X,2035, 6.7589751768785518e+01
REGION,ETEL00T00X,2036, 9.9219816817720357e+01
REGION,ETEL00T00X,2037, 1.1134615877418132e+02
REGION,ETEL00T00X,2038, 88.4434593152139
REGION,ETEL00T00X,2039, 1.1367672540948872e+02
REGION,ETEL00T00X,2040, 1.0750698020139956e+02
REGION,ETEL00T00X,2041, 4.5600344514575525e+01
REGION,ETEL00T00X,2042, 5.1888565511494043e+01
REGION,ETEL00T00X,2043, 1.5313089182405358e+01
REGION,ETEL00T00X,2044, 1.0485518868877668e+02
REGION,ETEL00T00X,2045, 7.5237525432482485e+01
REGION,ETEL00T00X,2046, 5.3139404484586848e+01
REGION,ETEL00T00X,2047, 7.1669059919906573e+01
REGION,ETEL00T00X,2048, 2.9853706018976428e+01
REGION,ETEL00T00X,2049, 50.7587317673687
REGION,ETEL00T00X,2050, 1.0921041209607004e+02
REGION,ETEL00T00X,2051, 1.3018622559695203e+01
REGION,ETEL00T00X,2052, 1.9848580266139827e+01
REGION,ETEL00T00X,2055, 6.5547075768512414e+01
REGION,ETEL00T00X,2056, 1.0712528765567544e+01
REGION,ETEL00T00X,2057, 2.0992358375615613e+01
REGION,ETEL00T00X,2058, 8.6499985713823051e+01
REGION,ETEL00T00X,2059, 87.3369027696155
REGION,ETEL00T00X,2060, 1.2908633041010185e+02
REGION,ETEL00T00X,2061, 9.6433332233297847e+01
REGION,ETEL00T00X,2062, 1.5540687891003643e+02
REGION,ETEL00T00X,2063, 1.3959958198925534e+02
REGION,ETEL00T00X,2064, 7.5174533435432778e+01
REGION,ETEL00T00X,2065, 1.4757875840604149e+02
REGION,ETEL00T00X,2066, 2.1859105813275639e+02
REGION,ETEL00T00X,2067, 2.2348431294195223e+02
REGION,ETEL00T00X,2068, 2.6396071374267012e+02
REGION,ETEL00T00X,2069, 2.6969274201833446e+02
REGION,ETEL00T00X,2070, 2.3982589435136319e+02
REGION,ETEL00TDTX,2017, 7.1722712954675319e+02
REGION,ETEL00TDTX,2018, 6.1300266416199588e+02
REGION,ETEL00TDTX,2020, 1.3197917748739478e+03
REGION,ETEL00TDTX,2021, 3.7366973264336480e+02
REGION,ETEL00TDTX,2022, 3.7726470469246613e+02
REGION,ETEL00TDTX,2023, 5.9109889942328175e+02
REGION,ETEL00TDTX,2024, 4.7839321893236939e+02
REGION,ETEL00TDTX,2025, 5.1466981717444753e+02
REGION,ETEL00TDTX,2026, 5.4703257168315963e+02
REGION,ETEL00TDTX,2027, 5.8687687425700017e+02
REGION,ETEL00TDTX,2028, 6.2876907739236094e+02
REGION,ETEL00TDTX,2029, 6.7278633719776906e+02
REGION,ETEL00TDTX,2030, 7.1910460125903933e+02
REGION,ETEL00TDTX,2031, 6.0932700550736513e+02
REGION,ETEL00TDTX,2032, 678.6610917483
REGION,ETEL00TDTX,2033, 6.8500757063210324e+02
REGION,ETEL00TDTX,2034, 616.521837568695
REGION,ETEL00TDTX,2035, 4.4014816706637612e+02
REGION,ETEL00TDTX,2036, 6.4612488381928245e+02
REGION,ETEL00TDTX,2037, 7.2509228709685681e+02
REGION,ETEL00TDTX,2038, 5.7594865327761954e+02
REGION,ETEL00TDTX,2039, 7.4026906472825829e+02
REGION,ETEL00TDTX,2040, 7.0009134586494451e+02
REGION,ETEL00TDTX,2041, 2.9695194212793120e+02
REGION,ETEL00TDTX,2042, 3.3790118181991983e+02
REGION,ETEL00TDTX,2043, 9.9719675829205215e+01
REGION,ETEL00TDTX,2044, 6.8282273423109984e+02
REGION,ETEL00TDTX,2045, 4.8995088822046068e+02
REGION,ETEL00TDTX,2046, 3.4604671375182835e+02
REGION,ETEL00TDTX,2047, 4.6671284527020839e+02
REGION,ETEL00TDTX,2048, 1.9440896941507833e+02
REGION,ETEL00TDTX,2049, 3.3054364256947315e+02
REGION,ETEL00TDTX,2050, 7.1118418770177982e+02
REGION,ETEL00TDTX,2051, 8.4777983457916946e+01
REGION,ETEL00TDTX,2052, 1.2925504228654427e+02
REGION,ETEL00TDTX,2055, 4.2684614902514340e+02
REGION,ETEL00TDTX,2056, 6.9760574309250615e+01
REGION,ETEL00TDTX,2057, 1.3670338800822469e+02
REGION,ETEL00TDTX,2058, 5.6329264669365978e+02
REGION,ETEL00TDTX,2059, 5.6874269641944579e+02
REGION,ETEL00TDTX,2060, 8.4061725685417389e+02
REGION,ETEL00TDTX,2061, 6.2797914352143664e+02
REGION,ETEL00TDTX,2062, 1.0120181109075741e+03
REGION,ETEL00TDTX,2063, 9.0908012720619627e+02
REGION,ETEL00TDTX,2064, 489.54068088406
