,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - OTF/OTS cooling (new),Egypt - Sudan Historic and Planned EL trade link,Ethiopia - Sudan EL existing trade link,Geothermal power plant - MDT cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (old),Dal,Dagash,Jebel Aulia,Kajbar,Mograt,Merowe,Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Roseires,Sabaloka,Sennar,Shereik,Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (old),Dal FPV,Dagash FPV,Jebel Aulia FPV,Kajbar FPV,Mograt FPV,Merowe FPV,Roseires FPV,Sabaloka FPV,Sennar FPV,Shereik FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage
36,2051.0,0.0,115.1577,-150.775,1.5627,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,0.0,160.4313,82.1095
37,2052.0,0.0,115.1577,-148.1657,1.8386,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,0.0,166.8174,86.6491
38,2053.0,0.0,115.1577,-144.771,1.8386,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,2.2939,175.653,86.6491
39,2054.0,0.0,115.1577,-141.5994,1.8386,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,3.5821,186.1423,86.6491
40,2055.0,0.0,112.7023,-144.1204,1.8386,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,3.5821,201.9088,90.7923
41,2056.0,0.0,113.4163,-139.8197,1.8386,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,3.5821,212.9402,90.7923
42,2057.0,0.0,114.5437,-134.6379,1.8386,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,3.5821,223.3296,90.7923
43,2058.0,0.0,111.9813,-133.3097,1.8386,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,12.7438,233.0295,90.7923
44,2059.0,0.0,105.895,-137.2693,3.4452,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,30.5207,242.2741,90.7923
45,2060.0,0.0,104.3529,-134.4148,3.7264,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,38.5866,251.5871,90.7923
