,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - OTF/OTS cooling (new),Geothermal power plant - MDT cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (old),Dal,Dagash,Jebel Aulia,Kajbar,Mograt,Merowe,Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Roseires,Sabaloka,Sennar,Shereik,Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (new),Solar PV (utility),Solar PV (roof top),Solar PV with storage
40,2055.0,0.0,2.4552726118425396,0.4,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.0,0.0009013999883143553,0.0,34.39444971100007,10.0
41,2056.0,0.0,2.4552726118425396,0.4,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.0,0.0009013999883143553,0.7134230646612922,36.296697282823615,10.0
42,2057.0,0.0,2.4552726118425396,0.4,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.0,0.0009013999883143553,3.713423064661292,38.055686180961416,10.0
43,2058.0,0.0,2.4552726118425396,0.4,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.0,0.0009013999883143553,6.713423064661292,39.6612898604879,10.0
44,2059.0,0.0,2.4552726118425396,0.4,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.0,0.0009013999883143553,8.72813153460083,41.1612898604879,10.0
45,2060.0,0.0,2.4552726118425396,0.4,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.0,0.0009013999883143553,8.72813153460083,42.6612898604879,10.0
46,2061.0,0.0,2.4552726118425396,0.4,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.0,0.0009013999883143553,9.258185683760514,44.27464028600165,10.0
47,2062.0,0.0,2.4552726118425396,0.4,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.0,0.0009013999883143553,9.988290328189422,45.759582310097365,10.0
48,2063.0,0.0,2.4552726118425396,0.4,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.0,0.0009013999883143553,10.92855628329305,47.10815732803124,10.0
49,2064.0,0.0,2.4552726118425396,0.4,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.0,0.0009013999883143553,13.92855628329305,48.31187093099285,10.0
50,2065.0,0.0,2.4552726118425396,0.4,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.0,0.0009013999883143553,16.928556283293048,49.36172660180377,10.0
51,2066.0,0.0,2.4552726118425396,0.4,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.0,0.0009013999883143553,18.05148044255695,51.009645363333604,10.0
52,2067.0,0.0,2.4552726118425396,0.4,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.0,0.0009013999883143553,18.819423904234267,52.440167108680605,10.0
53,2068.0,0.0,2.4552726118425396,0.4,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.0,0.0009013999883143553,21.215713635911772,52.440167108680605,10.0
54,2069.0,0.0,2.4552726118425396,0.4,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.0,0.0009013999883143553,22.763248264369814,55.440167108680605,10.0
55,2070.0,0.0,2.4552726118425396,0.4,0.0,0.0,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.8,3.0,0.27,0.205,0.026,0.42,0.0,0.0,0.0,0.0,0.0009013999883143553,24.12649746395221,56.73817610587701,10.0
