r,t,y,AnnualFixedOperatingCost
REGION,EGNGGCP04N,2069, 1.4860330514046527e+02
REGION,EGNGGCP04N,2070, 1.7311387021659434e+02
REGION,EGHFGCP01O,2015, 6.1644
REGION,EGHFGCP01O,2016, 6.1644
REGION,EGHFGCP01O,2017, 6.1644
REGION,EGHFGCP01O,2018, 6.1644
REGION,EGHFGCP01O,2019, 6.1644
REGION,EGHFGCP01O,2020, 6.1644
REGION,EGHFGCP01O,2021, 5.85618
REGION,EGHFGCP01O,2022, 5.54796
REGION,EGHFGCP01O,2023, 5.23974
REGION,EGHFGCP01O,2024, 4.93152
REGION,EGHFGCP01O,2025, 4.6233
REGION,EGHFGCP01O,2026, 4.31508
REGION,EGHFGCP01O,2027, 4.00686
REGION,EGHFGCP01O,2028, 3.69864
REGION,EGHFGCP01O,2029, 3.39042
REGION,EGHFGCP01O,2030, 3.0822
REGION,EGHFGCP01O,2031, 2.77398
REGION,EGHFGCP01O,2032, 2.46576
REGION,EGHFGCP01O,2033, 2.15754
REGION,EGHFGCP01O,2034, 1.84932
REGION,EGHFGCP01O,2035, 1.5411
REGION,EGHFGCP01O,2036, 1.23288
REGION,EGHFGCP01O,2037, 0.92466
REGION,EGHFGCP01O,2038, 0.61644
REGION,EGHFGCP01O,2039, 0.30822
REGION,EGHFGCP02O,2015, 5.324
REGION,EGHFGCP02O,2016, 5.324
REGION,EGHFGCP02O,2017, 5.324
REGION,EGHFGCP02O,2018, 5.324
REGION,EGHFGCP02O,2019, 5.324
REGION,EGHFGCP02O,2020, 5.324
REGION,EGHFGCP02O,2021, 5.0578
REGION,EGHFGCP02O,2022, 4.7916
REGION,EGHFGCP02O,2023, 4.5254
REGION,EGHFGCP02O,2024, 4.2592
REGION,EGHFGCP02O,2025, 3.993
REGION,EGHFGCP02O,2026, 3.7268
REGION,EGHFGCP02O,2027, 3.4606
REGION,EGHFGCP02O,2028, 3.1944
REGION,EGHFGCP02O,2029, 2.9282
REGION,EGHFGCP02O,2030, 2.662
REGION,EGHFGCP02O,2031, 2.3958
REGION,EGHFGCP02O,2032, 2.1296
REGION,EGHFGCP02O,2033, 1.8634
REGION,EGHFGCP02O,2034, 1.5972
REGION,EGHFGCP02O,2035, 1.331
REGION,EGHFGCP02O,2036, 1.0648
REGION,EGHFGCP02O,2037, 0.7986
REGION,EGHFGCP02O,2038, 0.5324
REGION,EGHFGCP02O,2039, 0.2662
REGION,EGHFGCP04O,2015, 44.539836
REGION,EGHFGCP04O,2016, 44.539836
REGION,EGHFGCP04O,2017, 44.539836
REGION,EGHFGCP04O,2018, 44.539836
REGION,EGHFGCP04O,2019, 44.539836
REGION,EGHFGCP04O,2020, 44.539836
REGION,EGHFGCP04O,2021, 42.3128442
REGION,EGHFGCP04O,2022, 40.0858524
REGION,EGHFGCP04O,2023, 37.8588606
REGION,EGHFGCP04O,2024, 35.6318688
REGION,EGHFGCP04O,2025, 33.404877
REGION,EGHFGCP04O,2026, 31.1778852
REGION,EGHFGCP04O,2027, 28.9508934
REGION,EGHFGCP04O,2028, 26.7239016
REGION,EGHFGCP04O,2029, 24.4969098
REGION,EGHFGCP04O,2030, 22.269918
REGION,EGHFGCP04O,2031, 20.0429262
REGION,EGHFGCP04O,2032, 17.8159344
REGION,EGHFGCP04O,2033, 15.5889426
REGION,EGHFGCP04O,2034, 13.3619508
